"Type","ID","Name","Description","URL","Tags","Societies","Year","Standard Status","Technical Committees","Keywords"
"Conference",531,"1983 IEEE ATPG Workshop - Automatic Test Program Workshop",,,,"Computer Society - C",1983,,,
"Conference",532,"Built-In Self Test Workshop",,,,"Computer Society - C",1983,,,
"Conference",533,"1983 16th Annual Simulation Symposium",,,,"Computer Society - C",1983,,,
"Conference",534,"Particle Accelerator Conference (PAC)",,,,"Nuclear and Plasma Sciences Society - NPS",1983,,,
"Conference",535,"13th Convention of Electrical and Electronic Engineers in Israel",,,,"Region 08 - Europe,Middle East,Africa,Israel Section",1983,,,
"Conference",536,"1983 15th Southeasternosium on Symposium on System Theory",,,,"Computer Society - C",1983,,,
"Conference",537,"IEEE Computer Society Symposium on Computer Systems Organization",,,,"Computer Society - C",1983,,,
"Conference",538,"1983 IEEE VLSI Test Workshop (VTS)",,,,"Computer Society - C",1983,,,
"Conference",563,"Asilimar Microprocessor Workshop",,,,"Computer Society - C",1983,,,
"Conference",564,"IEEE Computer Society Workshop on Laboratories For Reliable Systems Research",,,,"Computer Society - C",1983,,,
"Conference",567,"1983 International Symposium on Circuits and Systems",,,,"Circuits and Systems Society - CAS",1983,,,
"Conference",568,"Offshore Technology Conference",,,,"Oceanic Engineering Society - OE,American Institute of Mining, Metallurgical and        Petroleum Engin,American Society of Civil Engineers,American Society of Mechanical Engineers - ASME,Marine Technology Society,Society of Exploration Geophysicists,Society of Naval Architects and Marine Engineers",1983,,,
"Conference",569,"Textile Industry Technical Conference",,,,"Industry Applications Society - IA",1983,,,
"Conference",570,"Industrial & Commercial Power Systems Conference (I & CPS)",,,,"Industry Applications Society - IA,Milwaukee Section",1983,,,
"Conference",572,"Pulp & Paper Industry Technical Conference - PPIC",,,,"Industry Applications Society - IA,New Orleans Section",1983,,,
"Conference",573,"Optizimation Day '83",,,,"Control Systems Society - CS",1983,,,
"Conference",574,"Spring '83 Computer Packaging Workshop",,,,"Computer Society - C",1983,,,
"Conference",575,"Seismic Risk and Heavy Industrial Facilities",,,,"Nuclear and Plasma Sciences Society - NPS",1983,,,
"Conference",576,"1983 Conference on Crime Countermeasures & Security",,,,"Aerospace and Electronic Systems Society - AES,Lexington Section,University of Kentucky",1983,,,
"Conference",577,"1983 Recent Development in Fiber Optic Communication Systems",,,,"Computer Society - C,Communications Society - COM,New York Section",1983,,,
"Conference",11150,"2013 Annual Reliability and Maintainability Symposium - Product Quality & Integrity (RAMS)",,,,"Reliability Society - R",2013,,,
"Conference",12623,"2013 IEEE International Solid- State Circuits Conference - (ISSCC)",,"http://www.isscc.org/isscc/futureisscc.htm",,"Solid-State Circuits Society - SSC",2013,,,
"Conference",15226,"2013 Joint Magnetism and Magnetic Materials - INTERMAG Conference","Members of the scientific and engineering communities interested in applied and fundamental magnetism are invited to contribute to the technical sessions.",,,"Magnetics Society - MAG,American Physical Society - APS,Physics Conferences, Inc.",2013,,,
"Conference",15304,"2013 IEEE Petroleum and Chemical Industry Technical Conference (PCIC 2013)","Provide an inernational forum for the exchange of electrical applications technology related to the petroleum and chemical industry; to sponsor appropriate IEEE Standards activity for that industry and to provide opportunity for professional development","http://www.ieee-pcic.org",,"Industry Applications Society - IA",2013,,,
"Conference",11149,"2014 IEEE International Electron Devices Meeting (IEDM)",,,,"Electron Devices Society - ED",2014,,,
"Conference",15298,"2014 IEEE Petroleum and Chemical Industry Technical Conference (PCIC 2014)","The mission of IEEE-PCIC is to provide an international forum for the exchange of electrical applications technology relating to the petroleum, chemical and marine industry, to sponsor appropriate standards activities for that industry, and to provide opportunity for professional development.","http://www.ieee-pcic.org",,"Industry Applications Society - IA",2014,,,
"Conference",14937,"2015 IEEE International Electron Devices Meeting (IEDM)","the IEEE/IEDM has been the world's main forum for reporting breakthroughs in technology, design, manufacturing, physics and the modeling of semiconductors and other electronic devices. Topics range from deep submicron CMOS transistors and memories to novel displays and imagers, from compound semiconductor materials to nanotechnology devices and architectures, from micromachined devices to smart-power technologies, etc.","http://www.ieee-iedm.org",,"Electron Devices Society - ED",2015,,,
"Conference",15101,"2015 Annual Reliability and Maintainability Symposium (RAMS)","This conf covers all facets of the assurance sciences.","http://www.rams.org",,"Reliability Society - R,American Institute of Aeronautics and Astronautics - AIAA,American Society of Quality Control of Electronics     Division,American Society of Quality Control of Reliability     Division,Institute of Environmental Sciences,Institute of Industrial Engineers - IIE,Society of Logistics Engineers,Society of Reliability Engineers,System Safety Society,Society of Automotive Engineers - SAE",2015,,,
"Conference",15666,"2009 IEEE International Conference on e-Business Engineering (ICEBE)","The main themes of this year s conference will be enabling integrated e -business systems through
servicing and collaboration , which is distributed in the following program tracks: - Software engineering for e -business - Data
and knowledge management - Service engineering - Integration and collaboration - Security, privacy and open sources -
Mobile and pervasive commerce - Industrial experiences and applications","http://conferences.computer.org/icebe/2009/index.htm",,"Computer Society - C",2009,,,
"Conference",15667,"2009 International Conference on Engineering Education (ICEED)","The conference seeks papers in all aspects of engineering education  including but not limited to the following topics: 
Accreditation and evaluation
Engineering Education Reforms
International Recognition of Qualifications
New Technologies in Education
Industry and Education Collaboration
Globalisation in engineering education
Women in Engineering Education
","http://www.ieeemalaysia.org/iceed2009",,"Malaysia Section E Chapter,Malaysia Section Women in Engineering Affinity Group,Faculty of Electrical Engineering, Universiti Teknologi MARA, Malaysia",2009,,,
"Conference",15668,"2009 World Non-Grid-Connected Wind Power and Energy Conference (WNWEC 2009)","WNWEC 2009 aims to organize a high-level international forum for scientists, researchers and engineers to exchange ideas on the diversified application and research of energy, especially of Non-Grid-Connected Wind power.","http://www.wnwec.com/",,"Power & Energy Society - PES,Chinese Renewable Energy Society,Chinese Wind Energy Association,Jiangsu Institute of Macroeconomic Research,World Wind Energy Institute - WWEI",2009,,,
"Conference",15167,"2015 IEEE International Solid- State Circuits Conference - (ISSCC)","foremost forum for presentation of advances in solid-state circuits and systems-on-a-chip. The Conference offers a unique opportunity for engineers working at the cutting edge of IC design and use to maintain technical currency, and to network with leading experts.","http://www.isscc.org/isscc/futureisscc.htm",,"Solid-State Circuits Society - SSC",2015,,,
"Conference",15168,"2016 IEEE International Solid- State Circuits Conference - (ISSCC)","foremost forum for presentation of advances in solid-state circuits and systems-on-a-chip. The Conference offers a unique opportunity for engineers working at the cutting edge of IC design and use to maintain technical currency, and to network with leading experts.","http://www.isscc.org/isscc/futureisscc.htm",,"Solid-State Circuits Society - SSC",2016,,,
