"Periodical","Sector","Tags","S/C's","Description","Web Address"
"Journal of Selected Areas in Communications","Communications, Energy, Computing & Information Technology","","","",""
"Journal of Selected Topics in Quantum Electronics","","","","",""
"Journal of Selected Topics in Signal Processing","","","","",""
"Journal of Solid-State Councils","","","","",""
"Micro Magazine","Manufacturing & Devices, Entertainment, Critical Infrastructure, Computing & Information Technology","","","",""
"Microwave and Wireless Components Letters","","","","",""
"Microwave Magazine","","","","",""
"MultiMedia Magazine","Education, Computing & Information Technology, Healthcare, Entertainment, Retail, Manufacturing & Devices, Communications, Transportation","","","",""
"Network The Magazine of Global Internetworking","Computing & Information Technology, Communications","","","",""
"Photonics Technology Letters","","","","",""
"Power & Energy Magazine","","","","",""
"Robotics and Automation Magazine","Environment, Energy, Computing & Information Technology, Education, Healthcare, Entertainment, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Agriculture, Transportation","","","",""
"Security & Privacy Magazine","Communications, Defense, Critical Infrastructure, Computing & Information Technology, Education, Financial Services","","","",""
"Sensors Journal","","","","",""
"Signal Processing Letters","","","","",""
"Signal Processing Magazine","","","","",""
"Software Magazine","Communications, Critical Infrastructure, Computing & Information Technology, Education","","","",""
"Technology and Society Magazine","","","","",""
"Transactions of Broadcasting","","","","",""
"Transactions on Advanced Packaging","","","","",""
"Transactions on Aerospace and Electronic Systems","","","","",""
"Transactions on Antennas and Propagation","","","","",""
"Transactions on Applied Superconductivity","","","","",""
"Transactions on Audio, Speech, and Language Processing","","","","",""
"Transactions on Automatic Control","","","","",""
"Transactions on Automation Science and Engineering","Environment, Energy, Computing & Information Technology, Education, Healthcare, Entertainment, Retail, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Agriculture, Transportation","","","",""
"Transactions on Biomedical Circuits and Systems","Manufacturing & Devices, Communications, Healthcare, Computing & Information Technology","","","",""
"Transactions on Biomedical Engineering","Manufacturing & Devices, Communications, Healthcare, Critical Infrastructure, Computing & Information Technology","","","",""
"Transactions on Circuits and Systems 1","","","","",""
"Transactions on Circuits and Systems 2","","","","",""
"Transactions on Circuits and Systems for Video Technology","","","","",""
"Transactions on Communications","Communications","","","",""
"Transactions on Components and Packaging Technologies","","","","",""
"Transactions on Computers","Communications, Critical Infrastructure, Computing & Information Technology","Physical Computing","Man & Cybernetics, Computer, Instrumentation & Measurement, Control Systems","",""
"Transactions on Computer-Aided Design of Integrated Circuits and Systems","","","","",""
"Transactions on Consumer Electronics","","","","",""
"Transactions on Dependable and Secure Computing","Computing & Information Technology, Healthcare, Retail, Critical Infrastructure, Communications, Defense, Financial Services","","","",""
"Transactions on Device and Materials Reliability","","","","",""
"Transactions on Dielectrics and Electrical Insulation","Environment, Energy, Education, Healthcare, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Agriculture, Transportation","","","",""
"Transactions on Education","","","","",""
"Transactions on Electromagnetic Compatibility","Environment, Energy, Computing & Information Technology, Healthcare, Entertainment, Retail, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Financial Services, Transportation","","","",""
"Transactions on Electron Devices","","","","",""
"Transactions on Electronics Packaging Manufacturing","","","","",""
"Transactions on Energy Conversion","","","","",""
"Transactions on Engineering Management","Energy, Agriculture, Manufacturing & Devices, Computing & Information Technology, Critical Infrastructure, Financial Services, Communications, Healthcare, Retail, Education, Entertainment, Transportation, Defense, Environment","","","",""
"Transactions on Evolutionary Computation","","","","",""
"Transactions on Fuzzy Systems","","","","",""
"Transactions on Geoscience and Remote Sensing ","","","","",""
"Transactions on Image Processing","","","","",""
"Transactions on Industrial Electronics","","","","",""
"Transactions on Industry Applications","","","","",""
"Transactions on Information Forensics and Security","","","","",""
"Transactions on Information Technology in Biomedicine","Communications, Healthcare, Computing & Information Technology","","","",""
"Transactions on Information Theory","Computing & Information Technology, Communications","","","",""
"Transactions on Instrumentation and Measurement","Environment, Energy, Education, Computing & Information Technology, Healthcare, Manufacturing & Devices, Critical Infrastructure, Communications, Transportation","","","",""
"Transactions on Intelligent Transportation Systems","","","","",""
"Transactions on Knowledge and Data Engineering","Computing & Information Technology, Critical Infrastructure","","","",""
"Transactions on Magnetics","Energy, Education, Computing & Information Technology, Healthcare, Manufacturing & Devices, Communications, Defense","","","",""
"Transactions on Microwave Theory and Techniques","","","","",""
"Transactions on NanoBioscience","Manufacturing & Devices, Healthcare","","","",""
"Transactions on Nanotechnology","","","","",""
"Transactions on Neural Networks ","","","","",""
"Transactions on Neural Systems and Rehabilitation Engineering","Manufacturing & Devices, Healthcare, Computing & Information Technology","","","",""
"Transactions on Nuclear Science","","","","",""
"Transactions on Parallel and Distributed Systems","Energy, Agriculture, Manufacturing & Devices, Computing & Information Technology, Critical Infrastructure, Financial Services, Communications, Healthcare, Retail, Education, Entertainment, Transportation, Defense, Environment","","","",""
"Transactions on Pattern Analysis and Machine Intelligence","Environment, Computing & Information Technology, Education, Healthcare, Entertainment, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Agriculture, Transportation","","","",""
"Transactions on Plasma Science","","","","",""
"Transactions on Power Delivery","","","","",""
"Transactions on Power Electronics","","","","",""
"Transactions on Power Systems","","","","",""
"Transactions on Professional Communication","","","","",""
"Transactions on Reliability","","","","",""
"Transactions on Robotics","Environment, Energy, Computing & Information Technology, Education, Healthcare, Entertainment, Manufacturing & Devices, Communications, Defense, Agriculture, Transportation","","","",""
"Transactions on Signal Processing","","","","",""
"Transactions on Systems, Man, and Cybernetics, Part A","","Physical Computing","Man & Cybernetics, Computer, Instrumentation & Measurement, Control Systems","",""
"Transactions on Systems, Man, and Cybernetics, Part B","","","","",""
"Transactions on Systems, Man, and Cybernetics, Part C","","","","",""
"Transactions on Vehicular Technology","","","","",""
"Transactions on Wireless Communications","Communications","wireless, mobile communication, wireless radios, handheld devices","Technical Activities Board, Antennas & Propagation, Communications, Electron Devices","",""
"Trsansactions on Software Engineering","Computing & Information Technology, Critical Infrastructure","","","",""
"Trsansactions on Visualization and Computer Graphics","Environment, Energy, Computing & Information Technology, Education, Healthcare, Entertainment, Retail, Manufacturing & Devices, Critical Infrastructure, Communications, Defense, Financial Services, Transportation","","","",""
"Trsnsactions on Control Systems Technology","","","","",""
"Vehicular Technology Magazine","","","","",""
"Wireless Communications","Communications","","","",""
