"Conference Name","Sector","Tags","S/C's","Description","Web Address"
"2007 2nd International Workshop on Semantic Media Adaptation and Personalization (SMAP)","","","","",""
"2007 2nd International Workshop on Semantic Media Adaptation and Personalization (SMAP)","","","","",""
"2007 2nd International Workshop on Soft Computing Applications (SOFA)","","","","",""
"2007 3rd IEEE International Conference on e-Science and Grid Computing (e-Science)","Education, Computing & IT","","","",""
"2007 3rd IEEE International GHz/Gbps Test Workshop (GTW)","Education, Computing & IT, Manufacturing & Devices","","","",""
"2007 3rd IEEE Workshop on Secure Network Protocols (NPSec)","Entertainment, Manufacturing & Devices, Communications, Education, Financial Services, Critical Infrastructure, Defense, Computing & IT","","","",""
"2007 3rd IEEE/IFIP International Conference in Central Asia on Internet (ICI 2007)","Communications, Computing & IT","","","",""
"2007 3rd International Conference on Industrial Applications of Holonic and Multi-Agent Systems (HoloMAS 2007)","","","","",""
"2007 3rd International Conference on Next Generation Web Services Practices (NWeSP)","Computing & IT, Entertainment, Communications, Education, Financial Services","","","",""
"2007 3rd International Conference on Recent Advances in Space Technologies RAST - 2007","Untitled entry (ID: 85408)","","","",""
"2007 3rd International Conference on Recent Advances in Space Technologies RAST - 2007","","","","",""
"2007 3rd International Conference on Security and Privacy in Communication Networks (SECURECOMM)","Computing & IT, Defense, Education, Communications, Financial Services","","","",""
"2007 3rd International Conference on Security and Privacy in Communication Networks (SECURECOMM)","Communications, Defense, Critical Infrastructure, Education, Computing & IT, Financial Services","","","",""
"2007 3rd International Conf. on Testbeds and Research Infrastructures for the Development of Networks & Communities (TridentCom)","Communications","","","",""
"2007 3rd International IEEE/EMBS Conference on Neural Engineering","Healthcare, Computing & IT","","","",""
"2007 3rd International Workshop on Enterprise, Applications and Services in Finance Industry (FinanceCom)","Communications, Financial Services","","","",""
"2007 3rd Latin American Symposium on Dependable Computing (LADC)","Education, Computing & IT","","","",""
"2007 3rd Southern Conference on Programmable Logic (SPL)","","","","",""
"2007 4th Annual IEEE Communications Society Conference on Sensor, Mesh and Ad Hoc Communications and Networks (SECON)","Communications","","","",""
"2007 4th European Conference on Electrical and Instrumentation Applications in the Petroleum & Chemical Industry (PCIC EUROPE)","","","","",""
"2007 4th IEEE Consumer Communications and Networking Conference (CCNC)","Entertainment, Retail, Communications","","","",""
"2007 4th IEEE International Conference on Group IV Photonics (GFP)","Computing & IT, Manufacturing & Devices, Communications","","","",""
"2007 4th IEEE International Symposium on Biomedical Imaging: Macro to Nano (ISBI 2007)","","","","",""
"2007 4th IEEE International Symposium on Biomedical Imaging: Macro to Nano (ISBI 2007)","Healthcare, Computing & IT","","","",""
"2007 4th IEEE International Workshop on Silicon Debug and Diagnosis (SDD)","Education, Computing & IT, Manufacturing & Devices","","","",""
"2007 4th IEEE International Workshop on Visualizing Software for Understanding and Analysis (VISSOFT)","Education, Computing & IT","","","",""
"2007 4th IEEE Latin American Robotics Symposium (LARS 2007)","Computing & IT, Healthcare, Education, Manufacturing & Devices","","","",""
"2007 4th IEEE Workshop on Formal Approaches to Agent-Based Systems (FAABS)","Computing & IT, Entertainment, Communications, Education, Financial Services","","","",""
"2007 4th IEEE/EMBS International Summer School and Symposium on Medical Devices and Biosensors (ISSS-MDBS 2007)","Healthcare, Education, Computing & IT","Physical Computing","Man & Cybernetics, Computer, Instrumentation & Measurement, Control Systems","",""
"2007 4th International Conference on Broadband Communications, Networks and Systems (Broadnets 2007)","Communications","","","",""
"2007 4th International Conference on Electrical & Electronics Engineering (ICEEE 2007)","","","","",""
"2007 4th International Conference on Heterogeneous Networking for Quality, Reliability, Security and Robustness (QShine 2007)","Defense, Critical Infrastructure, Communications","","","",""
"2007 4th International IEEE Security in Storage Workshop (SISW)","Entertainment, Communications, Financial Services, Computing & IT, Manufacturing & Devices, Defense, Healthcare, Critical Infrastructure, Education","","","",""
"2007 4th International Symposium on Applied Computational Intelligence and Informatics (SACI 2007)","","","","",""
"2007 4th Personalized Health Conference (pHealth 2007)","Healthcare, Computing & IT, Communications","","","",""
"2007 4th Workshop on Positioning, Navigation and Communication (WPNC)","","","","",""
"2007 5th Annual Communication Networks and Services Research Conference (CNSR)","Communications","","","",""
"2007 5th Annual IEEE/ACM International Symposium on Code Generation and Optimization (CGO)","Computing & IT, Education, Communications","","","",""
"2007 5th Atlantic Web Intelligence Conference (AWIC)","","","","",""
"2007 5th IEEE International Conference on Industrial Informatics (INDIN)","","","","",""
"2007 5th IEEE/ACM International Conference on Formal Methods and Models for Codesign (MEMOCODE 2007)","","","","",""
"2007 5th IEEE/ACM International Conference on Formal Methods and Models for Codesign (MEMOCODE 2007)","Defense, Computing & IT, Education, Communications","","","",""
"2007 5th International Symposium on Intelligent Systems and Informatics (SISY 2007)","","","","",""
"2007 5th International Symposium on Modeling and Optimization in Mobile, Ad Hoc and Wireless Networks (WiOpt)","","","","",""
"2007 5th International Symposium on Modeling and Optimization in Mobile, Ad Hoc and Wireless Networks (WiOpt)","","","","",""
"2007 5th International Workshop on Models and Analysis of Vocal Emissions for Biomedical Applications (MAVEBA)","Healthcare, Education, Computing & IT","","","",""
"2007 5th Workshop on European Scientific and Industrial Collaboration on promoting Advanced Technologies in Manufacturing (WESIC)","","","","",""
"2007 6th Conference on Telecommunication Techno-Economics (CTTE 2007)","Communications","","","",""
"2007 6th Euro American Workshop on Information Optics","","","","",""
"2007 6th IEEE International Conference on Cognitive Informatics (ICCI)","Education, Computing & IT","","","",""
"2007 6th IEEE International Symposium on Mixed and Augmented Reality (ISMAR)","Computing & IT, Entertainment, Communications, Education","","","",""
"2007 6th IEEE Workshop on Test of Wireless Circuits and Systems (WTW)","Computing & IT, Communications, Education, Manufacturing & Devices","","","",""
"2007 6th International Asia-Pacific Symposium on Visualization (APVIS)","Entertainment, Education, Computing & IT","","","",""
"2007 6th International Conference on Information, Communications & Signal Processing (ICICS)","","","","",""
"2007 6th International Conference on Information, Communications & Signal Processing (ICICS)","Communications, Computing & IT","","","",""
"2007 6th International Summer School on Biomedical Signal Processing","Computing & IT, Healthcare, Communications, Education","","","",""
"2007 6th International Symposium on Information Processing in Sensor Networks (IPSN)","","","","",""
"2007 6th International Workshop on the Design of Reliable Communication Networks (DRCN)","Defense, Critical Infrastructure, Communications","","","",""
"2007 6th Workshop on Robot Motion and Control - (RoMoCo 2007)","Healthcare, Computing & IT, Manufacturing & Devices","","","",""
"2007 7th IEEE Conference on Nanotechnology (IEEE-NANO)","","","","",""
"2007 7th IEEE International Symposium on BioInformatics & BioEngineering - BIBE","Manufacturing & Devices, Communications, Healthcare, Education, Computing & IT","","","",""
"2007 7th IEEE International Symposium on BioInformatics & BioEngineering - BIBE","","","","",""
"2007 7th IEEE-RAS International Conference on Humanoid Robots (Humanoids 2007)","Entertainment, Computing & IT","","","",""
"2007 7th International Conference of Nitride Semiconductors (ICNS)","","","","",""
"2007 7th International Conference on ASIC (ASICON 2007)","","","","",""
"2007 7th International Conference on Hybrid Intelligent Systems (HIS 2007)","","","","",""
"2007 7th International Conference on Power Electronics (ICPE)","","","","",""
"2007 7th International Symposium on Electromagnetic Compatibility and Electromagnetic Ecology","Transportation, Defense, Critical Infrastructure, Environment","","","",""
"2007 8th European Workshop on Ultimate Integration of Silicon (ULIS)","","","","",""
"2007 8th IEEE Latin American Test Workshop - LATW","Education, Computing & IT","","","",""
"2007 8th IEEE Workshop on Mobile Computing Systems and Applications (HotMobile)","Computing & IT, Education, Communications","","","",""
"2007 8th IEEE/ACM International Conference on Grid Computing (GRID)","Manufacturing & Devices, Communications, Critical Infrastructure, Education, Computing & IT, Financial Services","","","",""
"2007 8th International Conference on Electronic Packaging Technology (ICEPT)","","","","",""
"2007 8th Novel Optical Materials and Application - (NOMA)","","","","",""
"2007 8th Siberian Russian Workshop and Tutorial on Electron Devices and Materials (EDM 2007)","","","","",""
"2007 9th Electronic Packaging Technology Conference - (EPTC 2007)","","","","",""
"2007 9th IEEE Conference on E-Commerce Technology & 4th IEEE Conference on Enterprise Computing, E-Commerce, & E-Services (CEC/EEE)","Computing & IT, Manufacturing & Devices, Communications, Education, Financial Services","","","",""
"2007 9th IEEE International Workshop on Web Site Evolution (WSE)","Entertainment, Education, Computing & IT","","","",""
"2007 9th IFIP International Conference on Mobile Wireless Communications Networks - (MWCN)","","","","",""
"2007 9th International Conference Advanced Communication Technology (ICACT)","Communications, Computing & IT","","","",""
"2007 9th International Conference on Electrical Power Quality and Utilisation - (EPQU '07)","","","","",""
"2007 9th International Conference on Telecommunications (ConTEL 2007)","Communications","","","",""
"2007 10th Canadian Workshop on Information Theory (CWIT)","Communications, Computing & IT","","","",""
"2007 10th IEEE International Symposium on Object and Component-Oriented Real-Time Distributed Computing (ISORC)","Manufacturing & Devices, Defense, Education, Computing & IT, Healthcare, Entertainment, Financial Services","","","",""
"2007 10th IFIP/IEEE International Symposium on Integrated Network Management (IM 2007)","Communications, Computing & IT","","","",""
"2007 10th International Conference on Information Fusion - (FUSION 2007)","","","","",""
"2007 10th International Symposium on Contemporary Photonics Technology (CPT)","","","","",""
"2007 10th Joint Magnetism and Magnetic Materials - INTERMAG Conference","Manufacturing & Devices, Energy, Communications, Defense, Education, Computing & IT, Healthcare","","","",""
"2007 10th Portuguese Spanish Congress on Electrical Engineering","","","","",""
"2007 11th European Conference on Software Maintenance and Reengineering (CSMR)","Entertainment, Manufacturing & Devices, Communications, Education, Financial Services, Critical Infrastructure, Defense, Computing & IT","","","",""
"2007 11th IEEE International Enterprise Distributed Object Computing Conference (EDOC 2007)","Entertainment, Education, Computing & IT","","","",""
"2007 11th IEEE International Enterprise Distributed Object Computing Conference (EDOC 2007)","Communications, Computing & IT","","","",""
"2007 11th IEEE International Symposium on Wearable Computers (ISWC)","Entertainment, Manufacturing & Devices, Healthcare, Communications, Education, Financial Services, Defense, Computing & IT","","","",""
"2007 11th IEEE/ACM International Symposium on Distributed Simulation and Real Time Applications (DS-RT)","Computing & IT, Education, Communications","","","",""
"2007 11th International Conference on Intelligence in Next Generation Networks (ICIN): ""Emerging Web and Telecom Services: Collision or Coopetition?""","Communications, Computing & IT","","","",""
"2007 12th IEEE European Test Symposium (ETS)","Education, Computing & IT, Manufacturing & Devices","","","",""
"2007 12th International Symposium on Advanced Packaging Materials: Processes, Properties, and Interfaces (APM)","","","","",""
"2007 12th International Workshop on Computational Electronics (IWCE-12)","","","","",""
"2007 12th Microcoll (Colloquium on Microwave Communications)","","","","",""
"2007 12th Microcoll (Colloquium on Microwave Communications)","","","","",""
"2007 12th Microcoll (Colloquium on Microwave Communications)","","","","",""
"2007 12th Microcoll (Colloquium on Microwave Communications)","Communications","","","",""
"2007 12th Optoelectronics & Communications Conference (OECC) and Intl. Conference on Integrated Optic & Optical Fiber Communications (IOOC)","Communications","","","",""
"2007 12th Optoelectronics & Communications Conference (OECC) and Intl. Conference on Integrated Optic & Optical Fiber Communications (IOOC)","","","","",""
"2007 13th EUNICE Open European Summer School and IFIP TC6.6 Workshop on Dependable and Adaptable Networks and Systems (EUNICE 2007)","Defense, Computing & IT, Critical Infrastructure, Communications","","","",""
"2007 13th IEEE International Conference on Embedded and Real-Time Computing Systems and Applications (RTCSA)","Entertainment, Manufacturing & Devices, Communications, Education, Financial Services, Critical Infrastructure, Defense, Computing & IT","","","",""
"2007 13th IEEE International Conference on Methods & Models in Automation & Robotics (MMAR)","","","","",""
"2007 13th IEEE International Conference on Methods & Models in Automation & Robotics (MMAR)","Computing & IT, Manufacturing & Devices","","","",""
"2007 13th IEEE International Symposium on Asynchronous Circuits and Systems - ASYNC","Education, Computing & IT, Manufacturing & Devices","","","",""
"2007 13th IEEE Pacific Rim International Symposium on Dependable Computing (PRDC)","Critical Infrastructure, Computing & IT, Education","","","",""
"2007 13th International Conference on Advanced Robotics (ICAR 2007)","Computing & IT, Manufacturing & Devices","","","",""
"2007 13th International Workshop on Thermal Investigations of ICs and Systems (THERMINIC)","","","","",""
"2007 13th Microoptics Conference (MOC 2007)","","","","",""
"2007 14th IEEE International Conference on Electronics, Circuits and Systems - (ICECS 2007)","","","","",""
"2007 14th IEEE International Conference on Image Processing ICIP 2007","","","","",""
"2007 14th International Conference on Semiconducting & Insulating Materials - (SIMC XIV)","","","","",""
"2007 14th International Symposium on Physical & Failure Analysis of ICs (IPFA 2007)","","","","",""
"2007 14th International Symposium on Physical & Failure Analysis of ICs (IPFA 2007)","","","","",""
"2007 14th Saint Petersburg International Conference on Integrated Navigation Systems","","","","",""
"2007 15th Annual IEEE Symposium on High-Performance Interconnects (HOTI)","Education, Computing & IT","","","",""
"2007 15th IEEE International Requirements Engineering Conference (RE 2007)","Manufacturing & Devices, Defense, Entertainment, Education, Computing & IT, Financial Services","","","",""
"2007 15th IEEE International Workshop on Quality of Service (IWQoS)","Communications","","","",""
"2007 15th IEEE Workshop on Local & Metropolitan Area Networks (LANMAN)","Communications","","","",""
"2007 15th IEEE-NPSS Real Time Conference (RT 2007)","","","","",""
"2007 15th International Conference on Advanced Thermal Processing of Semiconductors (RTP)","","","","",""
"2007 15th International Symposium on High Voltage Engineering (ISH)","Critical Infrastructure, Education, Energy, Environment","","","",""
"2007 16th IEEE International Symposium on High Performance Distributed Computing (HPDC)","Education, Computing & IT","","","",""
"2007 16th International Conference on Computer Communications and Networks - IC3N 2007","Communications, Computing & IT","","","",""
"2007 17th International Crimean Microwave Conference (CRIMICO)","","","","",""
"2007 17th International Photovoltaic Science and Engineering Conference (PVSEC)","","","","",""
"2007 18th European Symposium on Reliability of Electron Devices, Failure Physics and Analysis - ESREF 2007","","","","",""
"2007 18th European Symposium on Reliability of Electron Devices, Failure Physics and Analysis - ESREF 2007","","","","",""
"2007 18th International Zurich Symposium & Exhibition on Electromagnetic Compatibility","","","","",""
"2007 18th International Zurich Symposium & Exhibition on Electromagnetic Compatibility","Transportation, Defense, Critical Infrastructure, Environment","","","",""
"2007 18th Tyrrhenian International Workshop on Digital Communications (TIWDC)","Communications","","","",""
"2007 19th International Conference on Noise and Fluctuations (ICNF)","","","","",""
"2007 19th International Symposium on Computer Architecture and High Performance Computing (SBAC-PAD)","Computing & IT, Critical Infrastructure, Education, Communications, Financial Services","","","",""
"2007 20th Brazilian Symposium on Computer Graphics and Image Processing (SIBGRAPI)","Entertainment, Education, Computing & IT","","","",""
"2007 20th International Conference on VLSI Design: concurrently with the 6th International Conference on Embedded Systems Design","","","","",""
"2007 20th International Conference on VLSI Design: concurrently with the 6th International Conference on Embedded Systems Design","","","","",""
"2007 20th International Conference on VLSI Design: concurrently with the 6th International Conference on Embedded Systems Design","","","","",""
"2007 20th Symposium on Integrated Circuits and Systems Design (SBCCI)","","","","",""
"2007 21st IEEE International Conference on Advanced Information Networking and Applications (AINA)","Computing & IT, Communications, Education, Financial Services, Healthcare","","","",""
"2007 22nd Annual IEEE Symposium on Logic in Computer Science (LICS 2007)","Education, Computing & IT","","","",""
"2007 22nd IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems (DFT)","Defense, Critical Infrastructure, Computing & IT","","","",""
"2007 22nd IEEE Non-Volatile Semiconductor Memory Workshop (NVSMW)","","","","",""
"2007 22nd IEEE/ACM International Conference on Automated Software Engineering (ASE)","Education, Computing & IT","","","",""
"2007 22nd International Congress on Instrumentation in Aerospace Simulation Facilities (ICIASF 2007)","","","","",""
"2007 27th IEEE International Conference on Distributed Computing Systems - ICDCS 2007","Education, Computing & IT","","","",""
"2007 29th Annual International Conference of the IEEE Engineering in Medicine and Biology Society","Manufacturing & Devices, Communications, Healthcare, Critical Infrastructure, Education, Computing & IT","","","",""
"2007 29th Electrical Overstress/ Electrostatic Discharge Symposium (EOS/ESD)","","","","",""
"2007 30th International Spring Seminar on Electronics Technology (ISSE)","","","","",""
"2007 31st IEEE Software Engineering Workshop (SEW)","Defense, Computing & IT, Critical Infrastructure, Education","","","",""
"2007 32nd IEEE/CPMT International Electronic Manufacturing Technology Symposium (IEMT)","","","","",""
"2007 33rd Annual Northeast Bioengineering Conference","Healthcare, Manufacturing & Devices","","","",""
"2007 34th International Symposium on Compound Semiconductors (ISCS)","","","","",""
"2007 34th International Symposium on Computer Architecture (ISCA)","Entertainment, Manufacturing & Devices, Communications, Education, Financial Services, Critical Infrastructure, Defense, Computing & IT","","","",""
"2007 36th IEEE Applied Imagery Pattern Recognition Workshop (AIPR 2007)","Entertainment, Education, Computing & IT","","","",""
"2007 39th North American Power Symposium - NAPS","","","","",""
"2007 40th IEEE/ACM International Symposium on Microarchitecture (MICRO)","Critical Infrastructure, Manufacturing & Devices, Communications, Defense, Education, Computing & IT, Financial Services","","","",""
"2007 41st Annual Conference on Information Sciences and Systems (CISS)","Communications, Computing & IT","","","",""
"2007 41st Asilomar Conference on Signals, Systems and Computers (ACSSC)","","","","",""
"2007 44th ACM/IEEE Design Automation Conference (DAC)","","","","",""
"2007 44th ACM/IEEE Design Automation Conference (DAC)","","","","",""
"2007 44th ACM/IEEE Design Automation Conference (DAC)","Defense, Computing & IT, Education, Communications","","","",""
"2007 46th IEEE Conference on Decision and Control (CDC)","","","","",""
"2007 52nd Annual Conference on Magnetism and Magnetic Materials (MMM)","Manufacturing & Devices, Defense, Energy, Healthcare, Education, Computing & IT","","","",""
"2007 60th Annual Conference for Protective Relay Engineers","","","","",""
"2007 65th Annual Device Research Conference (DRC)","","","","",""
"2007 69th ARFTG Conference","","","","",""
"2007 70th ARFTG Conference","","","","",""
"2007 ACM/IEEE Symposium on Architectures for Networking and Communications Systems (ANCS)","Manufacturing & Devices, Communications, Defense, Education, Computing & IT, Financial Services","","","",""
"2007 ACS/MRS/IEEE CPMT 3rd Annual Organic Microelectronics Workshop","","","","",""
"2007 ACS/MRS/IEEE CPMT 3rd Annual Organic Microelectronics Workshop","","","","",""
"2007 ACS/MRS/IEEE CPMT 3rd Annual Organic Microelectronics Workshop","","","","",""
"2007 Advanced Workshop on Frontiers in Electronics (WOFE 2007)","","","","",""
"2007 Aerospace Technologies and Applications for Dual Use","","","","",""
"2007 All-Russian Conference on Fiber Optics (VKVO)","Computing & IT, Critical Infrastructure, Manufacturing & Devices, Entertainment, Communications","","","",""
"2007 American Control Conference - ACC 2007","","","","",""
"2007 Annual Reliability and Maintainability Symposium - Product Quality & Integrity (RAMS)","","","","",""
"2007 Asia and South Pacific Design Automation Conference ASP-DAC 2007","","","","",""
"2007 Asia Optical Fiber Communication & Optoelectronic Exposition & Conference (AOE)","","","","",""
"2007 Asia Pacific Microwave Conference - (APMC 2007)","","","","",""
"2007 Asia-Pacific Conference on Communications (APCC)","Communications","","","",""
"2007 Asia-Pacific Optical Communications (APOC)","","","","",""
"2007 ASME Summer Bioengineering Conference (SBC)","Healthcare, Manufacturing & Devices","","","",""
"2007 Australasian Universities Power Engineering Conference (AUPEC)","","","","",""
"2007 BAST Workshop:  Pacific Northwest Test","Education, Computing & IT","","","",""
"2007 Biometrics Symposium","","","","",""
"2007 Biometrics Symposium","","","","",""
"2007 Broadband Europe (BBEurope 2007)","","","","",""
"2007 Chinese Control Conference (CCC)","","","","",""
"2007 Compatibility in Power Electronics (CPE)","","","","",""
"2007 Conference on Insulating Films and Semiconductors (INFOS)","","","","",""
"2007 Conference on Lasers & Electro-Optics/Quantum Electronics and Laser Science Conference (CLEO/QELS 2007)","Computing & IT, Manufacturing & Devices, Environment, Communications, Healthcare","","","",""
"2007 Conference on Optical Fiber Communication - OFC 2007 Collocated National Fiber Optic Engineers Conference OFC/NFOEC 2007","Communications","","","",""
"2007 Conference on Optical Fiber Communication - OFC 2007 Collocated National Fiber Optic Engineers Conference OFC/NFOEC 2007","Critical Infrastructure, Manufacturing & Devices, Communications, Computing & IT, Entertainment","","","",""
"2007 Conf. on Lasers & Electro Optics & The Pacific Rim Conf. on Lasers and Electro - Optics CLEO/PACIFIC RIM 2007","Manufacturing & Devices, Environment, Communications, Defense, Untitled entry (ID: 85410), Computing & IT, Healthcare","","","",""
"2007 Cool Chips X","Education, Computing & IT","","","",""
"2007 Design, Automation & Test in Europe Conference & Exhibition (DATE 2007)","Computing & IT, Critical Infrastructure, Education, Manufacturing & Devices","","","",""
"2007 Design, Automation & Test in Europe Conference & Exhibition (DATE 2007)","","","","",""
"2007 Electrical Insulation Conference and Electrical Manufacturing Expo (EIC/EME)","Energy, Critical Infrastructure, Manufacturing & Devices, Transportation, Defense","","","",""
"2007 Embedded Systems Week (ES-WEEK)","","","","",""
"2007 Embedded Systems Week (ES-WEEK)","Education, Computing & IT, Manufacturing & Devices","","","",""
"2007 Embedded Systems Week (ES-WEEK)","Defense, Computing & IT, Education, Communications","","","",""
"2007 Engineering and Physical Sciences and Medicine & The Australian Biomedical Engineering Conference (EPSM-ABEC)","Healthcare","","","",""
"2007 European Conference on Circuit Theory and Design (ECCTD 2007)","","","","",""
"2007 European Conference on Lasers and Electro-Optics (CLEO/Europe-IQEC 2007)","Computing & IT, Manufacturing & Devices, Environment, Communications, Healthcare","","","",""
"2007 European Conference on Power Electronics and Applications (EPE)","","","","",""
"2007 European Conference on Power Electronics and Applications (EPE)","","","","",""
"2007 European Conference on Wireless Technology (ECWT)","","","","",""
"2007 European Microwave Conference (EuMC)","","","","",""
"2007 European Microwave Conference (EuMC)","","","","",""
"2007 European Microwave Integrated Circuits Conference (EuMIC)","","","","",""
"2007 European Microwave Integrated Circuits Conference (EuMIC)","","","","",""
"2007 European Radar Conference (EuRAD)","","","","",""
"2007 e-Manufacturing Symposium","Manufacturing & Devices","","","",""
"2007 First ACM/IEEE International Conference on Distributed Smart Cameras (ICDSC)","","","","",""
"2007 First IEEE International Conference on Biometrics: Theory, Applications, and Systems (BTAS)","","","","",""
"2007 First IEEE International Workshop on Digital Game and Intelligent Toy Enhanced Learning (DIGITEL 2007)","Computing & IT, Manufacturing & Devices, Entertainment, Communications, Education","","","",""
"2007 First IEEE International Workshop on Safety of Systems (IWSS)","","","","",""
"2007 First International Conference on Robot Communication and Coordination (ROBOCOMM)","Communications, Computing & IT","","","",""
"2007 First International Conference on Thermal Issues in Emerging Technologies - Theory and Application (ThETA)","","","","",""
"2007 First International Global Information Infrastructure Symposium: Closing the Digital Divide (GIIS)","Communications, Computing & IT","","","",""
"2007 First International Symposium on Advanced Networks and Telecommunication Systems (ANTS)","Communications","","","",""
"2007 First International Symposium on Data, Privacy and E-commerce (ISDPE)","Defense, Entertainment, Healthcare, Education, Computing & IT, Financial Services","","","",""
"2007 Formal Methods in Computer-Aided Design (FMCAD)","Defense, Computing & IT, Education, Communications","","","",""
"2007 Fourth Annual International Conference on Mobile and Ubiquitous Systems - Workshops (MobiQuitous)","Computing & IT, Communications, Education, Manufacturing & Devices","","","",""
"2007 Fourth Annual International Conference on Mobile and Ubiquitous Systems: Networking & Services (MobiQuitous)","Computing & IT, Communications, Education, Manufacturing & Devices","","","",""
"2007 Fourth International Conference on Networked Sensing Systems (INSS)","","","","",""
"2007 Frontiers in the Convergence of Bioscience and Information Technologies (FBIT 2007)","","","","",""
"2007 Great Lakes Symposium on VLSI (GLSVLSI)","","","","",""
"2007 High-Speed Networks Workshop (Inconjunction with IEEE INFOCOM 2007)","Communications, Computing & IT","","","",""
"2007 IASTED International Conference on Antennas, Radar and Wave Propagation (ARP)","","","","",""
"2007 ICTON Mediterranean Winter (ICTON-MW)","","","","",""
"2007 IEEE 6th International Conference on Development and Learning (ICDL 2007)","","","","",""
"2007 IEEE 6th International Workshop on Board Test (BTW)","Education, Computing & IT, Manufacturing & Devices","","","",""
"2007 IEEE 7th International Conference on Computer and Information Technology (CIT)","Computing & IT, Education, Communications","","","",""
"2007 IEEE 8th Human Factors and Power Plants (HFPP) and 13th Annual HPRCT Meeting","","","","",""
