"Name","Sector","Tagged by"
"Consumer","Entertainment, Financial Services","Technical Activities Board (TAB)"
"consumer products","Manufacturing & Devices","Technical Activities Board (TAB)"
"contamination control","Manufacturing & Devices","Technical Activities Board (TAB)"
"Content Delivery","Entertainment","Technical Activities Board (TAB)"
"continuing","Education","Technical Activities Board (TAB)"
"continuous manufacturing","Manufacturing & Devices","Technical Activities Board (TAB)"
"continuous process control","Manufacturing & Devices","Technical Activities Board (TAB)"
"control and optimization algorithm","Manufacturing & Devices","Technical Activities Board (TAB)"
"control systems","Energy","Technical Activities Board (TAB)"
"controls","Energy","Technical Activities Board (TAB)"
"conversion","Energy","Technical Activities Board (TAB)"
"corrosion","Transportation","Reliability (R)"
"cosmic events","Environment","Technical Activities Board (TAB)"
"counterfeiting","Retail","Technical Activities Board (TAB)"
"countermeasures","Defense","Reliability (R)"
"Credit","Financial Services","Technical Activities Board (TAB)"
"ctd","Environment","Oceanic Engineering (OE)"
"cultural aspects of health","Healthcare","Technical Activities Board (TAB)"
"culture","Manufacturing & Devices","Technical Activities Board (TAB)"
"current","Energy","Technical Activities Board (TAB)"
"customer expectations","Manufacturing & Devices","Technical Activities Board (TAB)"
"cutting","Manufacturing & Devices, Manufacturing & Devices","Technical Activities Board (TAB), Lasers & Electro-Optics (LEOS)"
"cyberattack","Environment","Technical Activities Board (TAB)"
"cybernetics","Computing & IT","Computer (C)"
"Cybersecurity","Defense","Technical Activities Board (TAB)"
"cycle time","Manufacturing & Devices","Technical Activities Board (TAB)"
"cylclic codes","Computing & IT","Electromagnetic Compatibility (EMC)"
"data","Energy","Technical Activities Board (TAB)"
"data analysis","Critical Infrastructure","Technical Activities Board (TAB)"
"Data centers","Computing & IT","Technical Activities Board (TAB)"
"Data Engineering","Computing & IT, Computing & IT","Technical Activities Board (TAB), Lasers & Electro-Optics (LEOS)"
"data logging","Critical Infrastructure","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"Data mining","Computing & IT, Environment, Healthcare, Retail","Technical Activities Board (TAB)"
"data privacy","Healthcare","Technical Activities Board (TAB)"
"data security","Healthcare","Technical Activities Board (TAB)"
"Data Storage","Computing & IT","Technical Activities Board (TAB)"
"data structures","Computing & IT","Computer (C)"
"data visualization","Critical Infrastructure","Technical Activities Board (TAB)"
"Databases","Computing & IT","Technical Activities Board (TAB)"
"datacomms","Computing & IT","Lasers & Electro-Optics (LEOS)"
"dataflow","Computing & IT","Computer (C)"
"DC","Energy","Technical Activities Board (TAB)"
"DCSs","Manufacturing & Devices","Technical Activities Board (TAB)"
"Dealing with real world","Education","Engineering Management (EM)"
"Decision making","Education, Transportation, Financial Services, Energy, Healthcare, Agriculture, Critical Infrastructure, Communications, Entertainment, Manufacturing & Devices, Defense, Environment, Retail, Computing & IT","Engineering Management (EM)"
"decision support","Defense, Healthcare","Technical Activities Board (TAB), Reliability (R)"
"defects","Manufacturing & Devices","Technical Activities Board (TAB)"
"Defensive Weaponry","Defense","Technical Activities Board (TAB)"
"defining purpose","Manufacturing & Devices","Technical Activities Board (TAB)"
"Definition","Critical Infrastructure","Engineering Management (EM)"
"degradation","Defense, Energy, Computing & IT","Reliability (R)"
"delivery","Transportation","Technical Activities Board (TAB)"
"Delivery Cost","Entertainment","Technical Activities Board (TAB)"
"Delivery Mechanisms","Defense","Technical Activities Board (TAB)"
"Delivery Modes","Entertainment","Technical Activities Board (TAB)"
"demand","Energy","Technical Activities Board (TAB)"
"demand projection","Transportation","Technical Activities Board (TAB)"
"demand-side","Energy","Technical Activities Board (TAB)"
"dependability","Financial Services, Agriculture, Transportation, Defense, Computing & IT, Healthcare, Communications, Entertainment","Reliability (R)"
"Dependable computing","Computing & IT","Technical Activities Board (TAB)"
"derating factors","Defense","Reliability (R)"
"design","Defense, Retail, Environment, Education, Financial Services, Transportation, Energy, Agriculture, Healthcare, Critical Infrastructure, Manufacturing & Devices, Entertainment","Control Systems (CS), Technical Activities Board (TAB), Council on Electronic Design Automation (CEDA)"
"Design Automation","Defense, Retail, Environment, Computing & IT, Computing & IT, Education, Financial Services, Transportation, Agriculture, Energy, Healthcare, Critical Infrastructure, Communications, Entertainment, Manufacturing & Devices, Computing & IT","Control Systems (CS), Computer (C), Council on Electronic Design Automation (CEDA), Technical Activities Board (TAB)"
"Design for manufacture","Defense, Retail, Environment, Computing & IT, Education, Financial Services, Transportation, Agriculture, Energy, Healthcare, Critical Infrastructure, Manufacturing & Devices, Entertainment, Computing & IT","Technical Activities Board (TAB), Council on Electronic Design Automation (CEDA), Control Systems (CS)"
"design of experiments (DOE)","Defense","Reliability (R)"
"Design productivity","Computing & IT, Agriculture","Council on Electronic Design Automation (CEDA), Technical Activities Board (TAB)"
"design specification","Manufacturing & Devices, Defense, Computing & IT, Critical Infrastructure, Communications","Council on Electronic Design Automation (CEDA)"
"Design verification","Defense, Retail, Environment, Computing & IT, Education, Financial Services, Transportation, Agriculture, Energy, Healthcare, Critical Infrastructure, Communications, Entertainment, Manufacturing & Devices, Computing & IT","Control Systems (CS), Technical Activities Board (TAB), Council on Electronic Design Automation (CEDA)"
"detection systems","Transportation, Critical Infrastructure","Technical Activities Board (TAB), Reliability (R)"
"deterioration","Defense","Reliability (R)"
"Development Cost","Entertainment","Technical Activities Board (TAB)"
"devices","Energy, Manufacturing & Devices","Technical Activities Board (TAB)"
"diagnosis","Healthcare","Technical Activities Board (TAB)"
"diagnostic tools","Manufacturing & Devices, Healthcare","Technical Activities Board (TAB), Reliability (R)"
"diagnostics","Defense","Reliability (R)"
"dielectrics","Energy","Technical Activities Board (TAB)"
"Digital Books","Entertainment","Technical Activities Board (TAB)"
"digital cinema","Entertainment","Lasers & Electro-Optics (LEOS)"
"Digital Home","Entertainment","Technical Activities Board (TAB)"
"Digital libraries","Computing & IT, Education","Technical Activities Board (TAB)"
"Digital Radio","Entertainment","Technical Activities Board (TAB)"
"Digital TV","Entertainment","Technical Activities Board (TAB)"
"disaster planning","Environment","Technical Activities Board (TAB)"
"disaster prediction","Critical Infrastructure","Technical Activities Board (TAB)"
"disaster response","Critical Infrastructure","Technical Activities Board (TAB)"
"discrete manufacturing","Manufacturing & Devices","Technical Activities Board (TAB)"
"discrete-event and sequence control","Manufacturing & Devices","Technical Activities Board (TAB)"
"disk laser","Manufacturing & Devices","Lasers & Electro-Optics (LEOS)"
"displays","Manufacturing & Devices","Technical Activities Board (TAB)"
"distributed generation","Energy, Defense, Environment","Technical Activities Board (TAB), Power Electronics (PEL)"
"distributed monitoring systems","Healthcare","Technical Activities Board (TAB)"
"distributed networking","Communications","Technical Activities Board (TAB)"
"Distributed Power","Defense, Environment, Defense","Technical Activities Board (TAB), Power Electronics (PEL)"
"distributed sensor networks","Manufacturing & Devices, Transportation, Critical Infrastructure, Critical Infrastructure","Electron Devices (ED), Technical Activities Board (TAB)"
"Distributed systems","Computing & IT","Technical Activities Board (TAB)"
"distribution","Energy","Technical Activities Board (TAB)"
"DNA sequencing","Healthcare","Lasers & Electro-Optics (LEOS)"
"domain engineering","Computing & IT","Computer (C)"
"drive systems","Agriculture, Manufacturing & Devices, Defense","Power Electronics (PEL)"
"drug delivery","Healthcare","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"drug design","Healthcare","Technical Activities Board (TAB)"
"DTV Transition","Entertainment","Technical Activities Board (TAB)"
"dynamic","Energy","Technical Activities Board (TAB)"
"E3","Defense","Technical Activities Board (TAB)"
"ECCM","Communications","Electromagnetic Compatibility (EMC)"
"ecoinformatics","Environment","Technical Activities Board (TAB)"
"economics","Energy","Technical Activities Board (TAB)"
"education","Energy, Computing & IT","Technical Activities Board (TAB)"
"effcient displays","Environment","Lasers & Electro-Optics (LEOS)"
"efficiency","Energy, Transportation","Technical Activities Board (TAB)"
"efficient and effective search","Computing & IT","Engineering Management (EM)"
"electric","Energy","Technical Activities Board (TAB)"
"Electric Ship","Defense","Technical Activities Board (TAB), Power Electronics (PEL)"
"electric traction","Transportation, Defense, Environment","Power Electronics (PEL)"
"electrical overstress","Energy","Electromagnetic Compatibility (EMC)"
"Electromagnetic Compatibility","Defense","Electromagnetic Compatibility (EMC)"
"Electromagnetic Environmental Effects","Defense","Technical Activities Board (TAB), Electromagnetic Compatibility (EMC)"
"electromagnetic imaging","Healthcare","Technical Activities Board (TAB)"
"electromagnetic interference","Defense, Communications","Technical Activities Board (TAB), Electromagnetic Compatibility (EMC)"
"Electromagnetic Packaging","Communications, Defense","Technical Activities Board (TAB)"
"Electromagnetic Pulse","Defense","Technical Activities Board (TAB)"
"Electromagnetic Survivability","Defense","Technical Activities Board (TAB)"
"electronic","Energy","Technical Activities Board (TAB)"
"Electronic Burnout","Defense","Technical Activities Board (TAB)"
"Electronic Medical Records","Healthcare","Engineering in Medicine & Biology (EMB)"
"Electronic Medical Records Standards","Healthcare","Engineering in Medicine & Biology (EMB)"
"Electronic Packaging","Computing & IT, Healthcare, Entertainment","Technical Activities Board (TAB)"
"Electronic Protect","Communications","Electromagnetic Compatibility (EMC)"
"electronics reliability in the body","Healthcare","Technical Activities Board (TAB)"
"electro-mechanical","Energy","Technical Activities Board (TAB)"
"Embedded Computing","Computing & IT","Technical Activities Board (TAB)"
"embedded intelligence","Manufacturing & Devices","Technical Activities Board (TAB)"
"embedded power","Defense, Computing & IT","Power Electronics (PEL)"
"Embedded Systems","Defense, Retail, Environment, Computing & IT, Education, Financial Services, Transportation, Agriculture, Energy, Healthcare, Critical Infrastructure, Manufacturing & Devices, Entertainment, Computing & IT","Technical Activities Board (TAB), Council on Electronic Design Automation (CEDA), Control Systems (CS)"
"emc","Energy, Defense","Technical Activities Board (TAB), Electromagnetic Compatibility (EMC)"
"emergency preparedness","Critical Infrastructure","Technical Activities Board (TAB)"
"emergency response","Healthcare","Technical Activities Board (TAB)"
"emergency traffic administration","Transportation","Technical Activities Board (TAB)"
"EMI Control","Defense","Electromagnetic Compatibility (EMC)"
"Emission Control (EMCON)","Defense","Electromagnetic Compatibility (EMC)"
"emissions","Energy, Defense, Entertainment, Transportation","Electromagnetic Compatibility (EMC), Technical Activities Board (TAB)"
"EMV","Defense","Electromagnetic Compatibility (EMC)"
"endurance","Agriculture, Transportation, Defense, Energy, Computing & IT, Communications","Reliability (R)"
"end-to-end QoS","Communications","Technical Activities Board (TAB)"
"energy","Critical Infrastructure","Technical Activities Board (TAB)"
"energy aware design","Environment","Council on Electronic Design Automation (CEDA)"
"energy efficiency solutions","Manufacturing & Devices, Critical Infrastructure, Environment, Retail, Manufacturing & Devices","Technical Activities Board (TAB), Power Electronics (PEL)"
"Energy Harvesting","Communications, Healthcare, Energy, Defense, Critical Infrastructure, Critical Infrastructure, Healthcare, Defense","Power Electronics (PEL), Technical Activities Board (TAB), Electron Devices (ED), Lasers & Electro-Optics (LEOS)"
"energy savings","Energy","Power Electronics (PEL)"
"energy storage","Communications, Manufacturing & Devices, Defense, Critical Infrastructure, Transportation","Technical Activities Board (TAB), Power Electronics (PEL)"
"energy-aware design","Energy","Council on Electronic Design Automation (CEDA)"
"Enterprise Management","Communications","Communications (COMM)"
"enterprise optimatization","Manufacturing & Devices","Technical Activities Board (TAB)"
"entity","Computing & IT","Computer (C)"
"entity relationship attribute diagram","Computing & IT","Computer (C)"
"Entrepreneurship","Education, Transportation, Financial Services, Energy, Healthcare, Agriculture, Critical Infrastructure, Communications, Entertainment, Manufacturing & Devices, Defense, Environment, Retail, Computing & IT","Engineering Management (EM)"
"environmental","Energy","Technical Activities Board (TAB), Power Electronics (PEL)"
"Environmental Acoustics","Energy, Defense","Technical Activities Board (TAB), Electron Devices (ED)"
"Environmental Assessment","Computing & IT","Computer (C)"
"environmental protection","Transportation","Technical Activities Board (TAB)"
"Environmental Sensors","Environment, Defense","Technical Activities Board (TAB), Electron Devices (ED)"
"environmental stress screening","Manufacturing & Devices","Reliability (R)"
"Environment-friendly computing","Computing & IT","Technical Activities Board (TAB)"
"EPON","Communications","Technical Activities Board (TAB)"
"ergonomics","Retail, Computing & IT, Transportation, Financial Services, Energy, Agriculture, Healthcare, Critical Infrastructure, Entertainment, Manufacturing & Devices, Communications, Defense","Technical Activities Board (TAB), Reliability (R)"
"error correction codes","Computing & IT, Communications","Electromagnetic Compatibility (EMC)"
"Ethics","Education","Social Implications of Technology (SIT)"
"evidence based medicine","Healthcare","Technical Activities Board (TAB)"
"Expense","Entertainment","Technical Activities Board (TAB)"
"exploration","Energy","Technical Activities Board (TAB)"
"E-Commerce","Computing & IT","Technical Activities Board (TAB)"
"E-learning","Computing & IT","Technical Activities Board (TAB)"
"failure analysis","Manufacturing & Devices, Defense","Reliability (R)"
"failure mode & effects baseline","Transportation, Manufacturing & Devices","Technical Activities Board (TAB), Reliability (R)"
"failure modes","Defense","Reliability (R)"
"failure rate","Defense","Reliability (R)"
"failure reporting","Manufacturing & Devices","Reliability (R)"
"failures","Energy, Transportation","Technical Activities Board (TAB), Reliability (R)"
"fail-safe systems","Transportation, Critical Infrastructure, Critical Infrastructure","Reliability (R), Technical Activities Board (TAB), Power Electronics (PEL)"
"fatigue","Agriculture, Defense","Reliability (R)"
"fault","Energy, Manufacturing & Devices, Defense, Transportation, Healthcare","Technical Activities Board (TAB), Reliability (R)"
"fault accommodation","Manufacturing & Devices, Defense, Energy, Computing & IT, Healthcare","Reliability (R)"
"fault detection","Defense","Reliability (R)"
"fault isolation","Defense","Reliability (R)"
"fault recovery","Defense","Reliability (R)"
"fault tolerance","Defense, Energy","Reliability (R)"
"Fault-tolerant computing","Computing & IT","Technical Activities Board (TAB)"
"Femtocells","Communications","Communications (COMM)"
"fiber laser","Manufacturing & Devices","Lasers & Electro-Optics (LEOS)"
"fiber optics","Energy, Manufacturing & Devices, Manufacturing & Devices","Technical Activities Board (TAB), Lasers & Electro-Optics (LEOS)"
"fiber to the premises","Communications","Technical Activities Board (TAB)"
"fiber wireless integration","Communications","Communications (COMM)"
"field failures","Transportation, Manufacturing & Devices","Technical Activities Board (TAB), Reliability (R)"
"finance","Energy","Technical Activities Board (TAB)"
"financial resources","Manufacturing & Devices","Technical Activities Board (TAB)"
"financing","Healthcare","Technical Activities Board (TAB)"
"first responders","Critical Infrastructure","Technical Activities Board (TAB)"
"Fixed Targets","Defense","Technical Activities Board (TAB)"
"Flight Safety","Defense","Electromagnetic Compatibility (EMC)"
"floorplanning","Defense","Council on Electronic Design Automation (CEDA)"
"FMEA","Energy","Computer (C)"
"FMECA","Energy","Computer (C)"
"Focus","Education, Transportation, Financial Services, Energy, Healthcare, Agriculture, Critical Infrastructure, Communications, Entertainment, Manufacturing & Devices, Defense, Environment, Retail, Computing & IT","Engineering Management (EM)"
"food","Healthcare","Technical Activities Board (TAB)"
"forecasting","Energy, Retail","Technical Activities Board (TAB)"
"forensics","Energy, Communications","Technical Activities Board (TAB)"
"formal methods","Energy, Manufacturing & Devices, Defense, Critical Infrastructure","Computer (C), Council on Electronic Design Automation (CEDA)"
"fossil","Energy","Technical Activities Board (TAB)"
"FRACAS","Manufacturing & Devices","Reliability (R)"
"frequency","Energy","Technical Activities Board (TAB)"
"frequency disputes","Communications","Technical Activities Board (TAB)"
"frequency hopping","Communications","Electromagnetic Compatibility (EMC)"
"fuel cells","Energy, Transportation","Technical Activities Board (TAB), Electron Devices (ED)"
"fuel injectors","Transportation","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"gaining commitment","Manufacturing & Devices","Technical Activities Board (TAB)"
"Game Technology","Computing & IT","Computer (C)"
"Gaming","Entertainment","Technical Activities Board (TAB)"
"gas","Energy","Technical Activities Board (TAB)"
"gas detection","Environment","Technical Activities Board (TAB)"
"GAVs","Defense","Technical Activities Board (TAB)"
"generation","Energy","Technical Activities Board (TAB)"
"generators","Energy","Technical Activities Board (TAB)"
"Gigabit Wireless Networks","Communications","Communications (COMM)"
"GPON","Communications","Technical Activities Board (TAB)"
"GPS","Transportation, Defense","Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"green manufacturing","Environment","Electron Devices (ED)"
"grid","Energy","Technical Activities Board (TAB)"
"Ground Fixed Radar","Communications, Defense","Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"Ground Mapping","Defense","Technical Activities Board (TAB)"
"Ground Mobile Radar","Communications, Defense","Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"handheld devices","Communications","Technical Activities Board (TAB)"
"Handheld Radar","Defense, Defense","Electron Devices (ED), Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"Handheld Television","Entertainment, Communications","Broadcast Technology (BT)"
"Hands On","Education","Technical Activities Board (TAB)"
"Haptics","Computing & IT","Computer (C)"
"Harbor Security","Critical Infrastructure, Critical Infrastructure","Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"Hardened Facilities","Defense","Technical Activities Board (TAB)"
"Hardware design","Computing & IT, Agriculture","Council on Electronic Design Automation (CEDA), Technical Activities Board (TAB)"
"hardware in the loop","Energy","Computer (C)"
"Hardware/software co-design","Defense, Retail, Environment, Education, Financial Services, Transportation, Energy, Healthcare, Critical Infrastructure, Communications, Manufacturing & Devices, Entertainment, Computing & IT","Control Systems (CS), Technical Activities Board (TAB), Council on Electronic Design Automation (CEDA)"
"harmonics","Energy","Technical Activities Board (TAB)"
"harvesting","Energy","Technical Activities Board (TAB), Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"hazard analysis","Energy, Manufacturing & Devices, Agriculture, Defense, Healthcare, Retail","Computer (C), Reliability (R)"
"hazard severity","Defense, Energy","Reliability (R)"
"hazards","Manufacturing & Devices, Energy, Computing & IT, Healthcare, Retail, Communications","Reliability (R)"
"Health information systems","Computing & IT","Technical Activities Board (TAB)"
"health management","Defense","Reliability (R)"
"health toys","Healthcare","Technical Activities Board (TAB)"
"healthcare mgmt","Healthcare","Technical Activities Board (TAB)"
"healthcare systems effects","Healthcare","Technical Activities Board (TAB)"
"HERF","Defense","Electromagnetic Compatibility (EMC)"
"HERO","Defense","Electromagnetic Compatibility (EMC)"
"HERP","Defense","Electromagnetic Compatibility (EMC)"
"high energy density capacitors","Transportation","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"high performance design","Entertainment, Defense","Council on Electronic Design Automation (CEDA)"
"high resolution imaging","Healthcare","Technical Activities Board (TAB)"
"high throughput screening","Healthcare","Ultrasonics,Ferroelectrics & Frequency Control (UFFC)"
"higher functionality implants","Healthcare","Technical Activities Board (TAB)"
"home networking","Communications","Technical Activities Board (TAB)"
