Type,ID,Name,Description,URL,Tags,Society Abbreviations,Conference Year,Standard Status,Standard Technical Committees,Keywords,Priority,Completed,Project Code,PubID,Date
education,CD0015,Writing for Success - An Engineer’s Guide - Volume 2: The Road to Excellence,"Good writing comes from hard, diligent work. Engineers understand what that means in their profession. In writing, that effort means giving our writing a close read, and testing it in every way. As in our engineering efforts, these tests are conducted to identify problems. And when problems are found, we must then develop effective solutions. With writing, these tests involve using our critical eye to detect any aspects of our writing that are unclear, wordy, vague, inaccurate, missing, or unneeded. We understand the purpose of our writing and read it, edit, rewrite and reread it, until we are sure it accomplishes that purpose as directly and effectively as possible.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77106&top.title=Writing+for+Success+-+An+Engineer%27s+Guide+-+Volume+2+-+The+Road+to+Excellence,"Company reports| Writing| Training| Proposals| Professional communication| Communication effectiveness| Communication networks| Career development| Testing",IEEE-USA,,,,"IEEE-USA, writing, career, design, communication",yes,No,,,6/11/2011
education,CD0014,Leading and Managing Engineering and Technology - Book 1: Perspectives on Leading and Managing,"The competencies needed to lead and manage continue to be misunderstood.  As a society, we focus on leadership as demonstrated by politicians, industry executives and individual effort related to some major accomplishment. This book discusses managing and leading as related to technical professionals and their managers.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77104&top.title=Leading+and+Managing+Engineering+and+Technology+-+Book+1+-+Perspectives+on+Leading+and+Managing,"Organizational aspects| Management| Organizations| Business| Employee welfare| Engineering management| Career development| Continuing professional development| Public policy",IEEE-USA,,,,"IEEE-USA, leadership, managing",yes,No,,,5/11/2011
education,GD0018,Photovoltaic Technologies for the 21st Century,"Summary report of a NIST workshop that focused on ""Priority Challenges"" for the four dominant photovoltaic technologies and defined critical milestones on the path to solutions.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77103&top.title=Foundations+for+Innovation+-+Photovoltaic+Technologies+for+the+21st+Century+-+December+2010,"Building integrated photovoltaics| Photovoltaic systems| Photovoltaic cells| Photovoltaic effects| Solar power generation| Energy| Innovation management| Technological innovation",IEEE-USA,,,,"IEEE-USA, energy, solar",yes,No,,,5/11/2011
education,GD0017,Copyright Basics (U.S. Copyright Office 2010),"This primer, prepared by the U.S. Copyright Office, provides an overview of what can be copyrighted, who can apply, the registration proceeds, filing fees, what forms to use, and more.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77102&top.title=Copyright+Basics+-+U.S.+Copyright+Office+2010,"Intellectual property| Intellectual property committee| Professional activities| Copyright protection| Legal factors| Government| Government policies",IEEE-USA,,,,"IEEE-USA, intellectual property",yes,No,,,5/11/2011
education,CD0013,Writing for Success - An Engineer’s Guide - Volume 1: Designing for Success,"This book is not a technical writing text.  Its purpose is to serve as an inspiration and guide to help engineers approach their writing tasks with the same confidence and skill that they take to the technical problems that confront them - so that e-mails, reports, test-plans, and other documents they write are as useful and successful and valued as their engineering efforts.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77148&top.title=Writing+For+Success+-+An+Engineer%27s+Guide+-+Volume+1%3A+Desigining+for+Success,"Writing| Training| Proposals| Professional communication| Communication effectiveness| Communication networks| Career development| Electronic mail",IEEE-USA,,,,"IEEE-USA, writing, career, design, communication",yes,No,,,3/11/2011
education,GD0016,Whistleblower Protections for Federal Employees - Sept 2010,The purpose of this report is to describe the requirements for a Federal employee’s disclosure of wrongdoing to be legally protected as whistle blowing under current statutes and case law.,https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77100&top.title=Whistleblower+Protections+for+Federal+Employees-Sept+2010,"Government| Public Policy| Legal factors| Governmental factors| Ethical aspects| Law enforcement",IEEE-USA,,,,"IEEE-USA, career, policy, whistleblower protection, whistleblowers",yes,No,,,3/11/2011
education,GD0021,PCAST STEM Report - February 2012,This report by the President's Council of Advisors on Science and Technology (PCAST) provides a strategy for improving STEM education during the first two years of college that we believe is responsive to both the challenges and the opportunities that this crucial stage in the STEM education pathway presents.,https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77121&top.title=GovDoc+-+PCAST+Stem+Report+-+February+2012,"Educational activities| Education courses| Education| Teaching| Educational programs| Educational technology| Science - general| Technology| Engineering - general| Mathematics",IEEE-USA,,,,"IEEE-USA, STEM",yes,No,,,3/16/2012
education,CD0025,Starting Your Start-Up - Book 1: Developing a Business Plan,"The Starting Your Start-Up e-book series is designed for the engineer or entrepreneur who has a great product or service idea, but no real marketing expertise. With a small budget and big dreams, it’s difficult to know where to start. This book helps the reader understand all the basics of starting a startup. Book 1: Developing a Business Plan shows you how to develop an initial business plan that contains just enough information to get started. It helps you define your concept clearly and concisely, build an effective elevator pitch, communicate your product and company positioning, and identify your critical success factors.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77123&top.title=Starting+Your+Start+Up+-+Book+1,"Innovation| Business| New Business Development Committee| Product development| Innovation management| Research and development management| Marketing management| Market research| Market opportunities",IEEE-USA,,,,"IEEE-USA, career, entrepreneurs, start-up, business plan",yes,No,,,4/24/2012
education,CD0026,Writing for Success - An Engineer's Guide - Volume 4: Writing for Life,"The fourth and final book in this series takes a close look at integrating graphics, lists, tables, abbreviations and acronyms, numbers, and headings into writing effectively. It also examines living with deadlines, including impossible ones, as well as some ways engineers can continuously improve their writing prowess throughout their careers and lives.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&top.title=Career-Development+Publications&main.id=77128&top.title=Writing+for+Success+-+An+Engineer%27s+Guide+-+Volume+4%3A++Writing+for+Life,"Company reports| Writing| Training| Proposals| Professional communication| Communication effectiveness| Communication networks| Career development",IEEE-USA,,,,"IEEE-USA, writing, career, design, communication",yes,No,,,6/13/2012
education,GD0021,Unemployed Older Workers (April 2012),"The number of workers age 55 and over experiencing long-term unemployment has grown substantially since the recession began in 2007. This raises concerns about how long-term unemployment will affect older workers' reemployment prospects and future retirement income. In light of these developments, GAO examined (1) how older workers' employment status has changed since the recession, (2) what risks unemployed older workers face and what challenges they experience in finding reemployment, (3) how long-term unemployment could affect older workers' retirement income, and (4) what other policies might help them return to work and what steps the Department of Labor (Labor) has taken to help unemployed older workers.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&top.title=Career-Development+Publications&main.id=77127&top.title=Unemployed+Older+Workers+%28April+2012%29,"Retirement| Termination of employment| Unemployment| Economics| Finance| Planning| Employment",IEEE-USA,,,,"IEEE-USA, career, employment, aging workforce, policy, workforce",yes,No,,,6/13/2012
education,GDOO22,Interagency Public Access Coordination (March 2012),"The America COMPETES Reauthorization Act of 2010 (ACRA; Public Law 111-358), signed into law by President Obama in 2011, calls for the Director of the Office of Science and Technology Policy (OSTP) to establish a working group under the National Science and Technology Council (NSTC) with the responsibility to coordinate federal science agency research and policies related to the dissemination and long-term stewardship of the results of unclassified research, including digital data and peer-reviewed scholarly publications, supported wholly or in part by funding from the federal science agencies. This report to Congress—submitted in fulfillment of Section 103 of ACRA (Appendix VI of this document)—details progress toward the coordination of policies related to these goals.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&top.title=Career-Development+Publications&main.id=77124&top.title=Interagency+Public+Access+Coordination+%28March+2012%29,"Research initiatives| Science - general| Research and development| Technology| Legal factors| Government",IEEE-USA,,,,"IEEE-USA, public access, government, policy",yes,No,,,6/13/2012
education,CD0027,Leading and Managing Engineering and Technology - Book 4 - What It Takes to Be a Manager-Leader,"The fourth and final book of this series explores managing, leading, and the role of Independent Professional Contributors (IPCs); finding problems and opportunities; developing a new mindset; gives examples of taking the lead; examines becoming the Manager-Leader; and offers parting thoughts.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77129&top.title=Leading+and+Managing+Engineering+and+Technology+-+Book+4+-+What+It+Takes+to+Be+a+Manager-Leader,"Organizational aspects| Management| Organizations| Business| Employee welfare| Engineering management| Career development| Continuing professional development| Public policy",IEEE-USA,,,,"IEEE-USA, leadership, managing",yes,No,,,7/12/2012
education,CD0028,IEEE-USA Consultants Fee Survey Report: 2012,"IEEE-USA has conducted surveys of the compensation of IEEE's U.S. members since 1972. Separate surveys focusing on the compensation of consultants were implemented in 2002, and with the exception of 2003, have been conducted annually ever since. All findings in this report represent only those who were identified as self-employed consultants; defined as the 1,275 individuals who indicated that 50% or more of their consulting hours came from working independently, with partners, or incorporated (from herein referred to as consultants).",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&top.title=Consulting&main.id=77143&top.title=IEEE-USA+Consultants+Fee+Survey+Report+-+2012+Edition,"Surveys Committee| Alliance of IEEE Consultants Networks Coordinating Committee| United States Activities Board| Data analysis| Data collection| Data communication| Engineering - general",IEEE-USA,,,,"IEEE-USA, career, consulting",yes,No,,,8/16/2012
education,CD0029,Starting Your Start-Up - Book 2:  Market Size and Strategy,"This series of e-books help you build up your understanding of your business, and maximize your chances for success. Book 2--Market Size and Strategy, helps flesh out the initial plan. It helps you find the real market size, even when dealing with disruptive technology where market size data is hard to come by. This book also helps the entrepreneur better understand the target buyer, and how to communicate the value of their product or service, increasing the probability of early and ongoing sales.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77144&top.title=Starting+Up+Your+Start-Up+Book+2+-+Market+Size+and+Strategy,"Technological innovation| Business| New Business Development Committee| Product development| Innovation management| Marketing management| Market research| Market opportunities",IEEE-USA,,,,"IEEE-USA, career, entrepreneurs, start-up, market strategy",yes,No,,,8/27/2012
education,GD0028,Realizing the Full Potential of Government-Held Spectrum to Spur Economic Growth - PCAST - July 2012,"This PCAST final report calls for a new system for federal spectrum management - in essence, a new spectrum architecture and a corresponding shift in the architecture of future radio systems that use it - that can multiply the effective capacity of spectrum by a factor of 1,000.8. The report emphasizes that the essential element of this new Federal spectrum architecture is that the norm for spectrum use should be sharing, not exclusivity.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77145&top.title=Realizing+the+Full+Potential+of+Government-Held+Spectrum+to+Spur+Economic+Growth+-+PCAST+-+July+2012,"Government| Radio spectrum management| Radio communication| Communication standards| Governmental Factors",IEEE-USA,,,,"IEEE-USA, spectrum policy, economic growth, policy",yes,No,,,9/25/2012
education,CD0030,The Best of Today's Engineer: On Licensure - Volume 1,"The Best of Today's Engineer: on Licensure, Volume 1 is a compilation of articles that will help the reader understand why one should pursue licensure; the licensure process; exam development; and how to effectively study for and pass the licensure exams.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77146&top.title=The+Best+of+Today%27s+Engineer+-+On+Licensure+-+Volume+1,"Career development| Continuing professional development| Licensure and Registration Committee| United States Activities Board",IEEE-USA,,,,"IEEE-USA, Today's Engineer, career, PE, licensure",yes,No,,,10/5/2012
education,CD0031,Software PE Exam - Sample Questions and Solutions,"After several years of planning, consensus building, research and development and many hundreds of hours of work by dedicated volunteer engineers, the path for licensure of software engineers in the United States is now a reality. The last step in the path, the Principles & Practice of Software Engineering Examination (also known as the ""Software PE Exam""), was recently completed and will be offered in at least 10 states in April 2013.

To help prospective examinees to prepare, the IEEE-USA Software Engineering PE Exam Development Committee has created this study guide, which includes the test specification, 40 representative questions with solutions and a suggested reference list. All code used in the questions are in a generic, pseudo-language, and the description of this language is also included in the book.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=77147&top.title=Software+PE+Exam+-+Sample+Questions+and+Solutions,"Career development| Continuing professional development| Licensure and Registration Committee| United States Activities Board| Software engineering| Software| Computers and information processing",IEEE-USA,,,,"IEEE-USA, PE, licensure, professional engineer, software licensure, career",yes,No,,,10/9/2012
education,CD0032,Work Life Balance - Book 2,"Book 2 of this two-book series explores work-life balance in three different career stages: early career, mid-career and late-career. The information draws on interviews and input from dozens of people—both those who claim to have achieved a satisfactory sense of balance, and those who say that their lives are far from balanced.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&top.title=Career-Development+Publications&main.id=77149&top.title=Work+Life+Balance+-+Book+2,"Career development| Engineering - general| Data analysis| Data collection| Data communication",IEEE-USA,,,,"IEEE-USA, worklife balance, work life balance, work-life balance, career",yes,No,,,11/30/2012
education,GD0010,Offshoring (or Offshore Outsourcing) and Job Loss Among U.S. Workers (Jan 2011),An overview and collection of data on offshoring and its impact on U.S. job loss prepared for Congress.,https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7794&top.title=Offshoring+and+Job+Loss+Among+U.S.+Workers,"Outsourcing| Management| Government| Governmental Factors| Unemployment| Employment| Termination of Employment",IEEE-USA,,,,"IEEE-USA, workforce, offshoring, outsourcing, employment",yes,No,,,3/11/2011
education,GD0009,Highlights of the FY 2012 Federal Science & Technology Budget Proposal: A Compendium (Feb 2011),This e-book is a compendium of materials highlighting research and development funding priorities and science and technology themes within the federal budget proposal for fiscal year (FY) 2012.,https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7793&top.title=2012+S&T+Budget+Compendium+-+Feb+2011,"Research initiatives| Science - general| Research and development| Technology| Government| Research and development management",IEEE-USA,,,,"IEEE-USA, policy",yes,No,,,3/11/2011
education,CD0012,Technical Presentations - Book 4: Supplement - Effective Visual Aids,"Given that individuals gather, learn and retain information differently, presenters need to incorporate multiple methods of communicating information during a presentation. Visual aids can provide strong visual tools and increase the audience’s retention of your core message. Learn how to supplement your presentation with effective PowerPoint slides or other visual aids.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7792&top.title=Technical+Presentations+-+Book+4+-+Supplement+-+Effective+Visual+Aids,"Computer applications| Information representation| Information technology| Communication| Computers and information| Communication effectiveness| Professional communication| Visual communication",IEEE-USA,,,,"IEEE-USA, career, communication, technical presentations, presentations, communication",yes,No,,,12/10/2011
education,EM0001,IEEE-USA Unemployment Survey - 2010 Edition,"The IEEE-USA Employment Assistance Committee has continued its interest in developing a better understanding of the problem of unemployment among older engineers by conducting a survey of unemployed engineers. This report of results is organized into four sections. The first section reports the percentage distribution or means response for each of the questions in the survey. The second section reports the results of selected cross tabulations that focus on age and various aspects of employment status. The third section reports the results of a multivariate analysis that focuses on the impact of age on the duration of unemployment, when other factors are held constant. The final section compares some of the current results to those in 1995, 1996, 1998, 2002, 2004, 2006 and 2008.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7791&top.title=2010+IEEE-USA+Unemployment+Survey+Report,"Retirement| Termination of employment| Unemployment| Economics| Finance| Planning| Employment",IEEE-USA,,,,"IEEE-USA, career, employment",yes,No,,,12/10/2011
education,CD0011,Communicating with Congress - 2010 Update,"Why should you engage the political system? Because you already are — in the sense that your life is already unavoidably linked to decisions made (or not made) by politicians. Your only real option is to help influence those decisions, or just hope for the best. You, your family, your profession and your country will be better off, if you choose to speak up. The 2010 Update of this book will assist you in building relationships with your elected officials.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7789&top.title=Communicating+with+Members+of+Congress%3A+2010+Update,"Government| Governmental Factors| US Government agencies| Voting| Communication| Electronic voting",IEEE-USA,,,,"IEEE-USA, communication",yes,No,,,11/10/2011
education,CD0010,Technical Presentations - Book 3: Dynamic Delivery Techniques,"A personal introduction, captivating opening, interesting body and compelling conclusion comprise the four major parts of a successful presentation.  But once you have an organized and well-written presentation, it’s time to shift your focus to delivery by incorporating eye contact, varied voice, and fluid body language.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7788&top.title=Technical+Presentations%3A+Book+3%3A++Dynamic+Delivery+Techniques,"Computer applications| Information representation| Information technology| Communication| Computers and information| Communication effectiveness| Professional communication| Visual communication",IEEE-USA,,,,"IEEE-USA, career, communication, technical presentations, presentations, communication",yes,No,,,11/10/2011
education,CD0009,The Persi Report: Planning Infrastructure to Sustain America - 15 September 2010,"This report has been prepared by the Task Committee on Planning for Sustainable Infrastructure of Practice, Education and Research for Sustainable Infrastructure (PERSI). The PERSI initiative was created to assist organizations within the infrastructure community to address sustainability consistently in their infrastructure practices.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7784&top.title=The+Persi+Report%3A++Planning+Infrastructure+To+Sustain+America,"Sustainable development| Green design| Data analysis| Data collection| Data communication| Social implications of technology",IEEE-USA,,,,"IEEE-USA, infrastructure, policy",yes,No,,,10/10/2011
education,CD0008,Building A Stronger and Smarter Electrical Energy Infrastructure,"IEEE-USA’s Energy Policy Committee developed this whitepaper e-book as an addendum to IEEE-USA’s National Energy Policy Recommendations, including policy recommendations for the Smart Grid, expanding our nation’s transmission infrastructure, and energy storage.  This e-book whitepaper is intended to provide additional background information to support IEEE-USA’s recommendations.",https://salaryapp.ieeeusa.org/rt/salary_database/shop?&main.ctrl=contentmgr.detail&main.view=ecom.content.detail&main.id=7783&top.title=Building+a+Stronger+and+Smarter+Electrical+Energy+Infrastructure,"Energy| Energy capture| Energy conservation| Energy harvesting| Energy management| Energy measurement| Energy storage| Energy resources| Energy Policy Committee| Power grids| Smart grids",IEEE-USA,,,,"IEEE-USA, policy, energy",yes,No,,,10/10/2011
