"Type","ID","Name","Description","URL","Tags","Sponsors » Abbreviation","Year","Standard Status","Technical Committees","Keywords","Priority"
"Conference",11027,"2006 IEEE/SEMI Advanced Semiconductor Manufacturing Conference (ASMC)",,"http://www.semi.org/asmc",,"CPMT, , ED, SEMI",2006,,,,"No"
"Conference",11033,"2006 9th International Conference on Control Automation Robotics & Vision (ICARCV 2006)",,"http://www.icarcv.org",,"School of Electrical& Electronic En, SMC, , CS, RA, , , ",2006,,,,"No"
"Conference",11035,"2006 Annual Reliability and Maintainability Symposium - Product Quality & Integrity (RAMS)",,"http://www.rams.org/",,", , , AIAA, SAE, IIE, , R, , ",2006,,,,"No"
"Conference",11036,"2006 Euro American Conference on Telematics and Information Systems (EATIS)",,"http://robotica.uv.es/conf/eatis2006/",,", , C, University of Valencia, ",2006,,,,"No"
"Conference",11044,"RO-MAN 2006: The 15th IEEE International Symposium on Robot and Human Interactive Communication",,"http://ro-man2006.feis.herts.ac.uk/",,"SMC, , RA, RSJ, IE, ",2006,,,,"No"
"Conference",11048,"2006 International Symposium on VLSI Design, Automation and Test (VLSI-DAT)",,"http://vlsidat.itri.org.tw",,", CAS, ED, ITRI, SSC",2006,,,,"No"
"Conference",11055,"2006 IEEE Information Theory Workshop (ITW)",,"http://www.fing.edu.uy/itw06/",,", IT, ",2006,,,,"No"
"Conference",11060,"2006 International Symposium on Power Electronics, Electrical Drives, Automation and Motion (SPEEDAM 2006)",,"http://www.speedam.org",,", IE, , ",2006,,,,"No"
"Conference",11064,"2006 IEEE Odyssey The Speaker and Language Recognition Workshop",,"http://www.speakerodyssey.com/",,", SP",2006,,,,"No"
"Conference",11067,"2006 2nd International Conf. on Testbeds and Research Infrastructures for the Development of Networks & Communities (TridentCom)",,"http://www.tridentcom.org/",,"ICST, , COM",2006,,,,"No"
"Conference",11075,"2006 9th IEEE International Workshop on Advanced Motion Control (AMC)",,"http://fens.sabanciuniv.edu/amc06/",,", SICE, IE, ",2006,,,,"No"
"Conference",11076,"2006 5th International Symposium on Information Processing in Sensor Networks (IPSN)",,"http://www.ieee.org/organizations/society/sp/SPSConf.html",,", SP",2006,,,,"No"
"Conference",11085,"2006 MIXDES - 13th International Conference Mixed Design of Integrated Circuits & Systems",,"http://www.mixdes.org",,", , , , ED, , , , Department of           Microelectronic, , ",2006,,,,"No"
"Conference",11086,"2006 International Symposium on VLSI Technology, Systems, and Applications (VLSI-TSA-Tech)",,"http://vlsitsa.itri.org.tw",,", CAS, ED, ITRI, SSC",2006,,,,"No"
"Conference",11096,"2006 Advances in Analogue Circuit Design (AACD)",,"http://www.aacd.ws/",,"CAS, , SSC",2006,,,,"No"
"Conference",11101,"2006 Conference of the European Study Group of Cardiovascular Oscillations (ESGCO)",,"http://www.esgco2006.de",,"EMB, ",2006,,,,"No"
"Conference",11104,"2006 International Conference on Mobile Data Management (MDM)",,"http://www.mdm2006.kddilabs.jp",,", , IE, C, IPSJ",2006,,,,"No"
"Conference",11109,"2006 International Semiconductor Conference (CAS 2006)",,"http://www.imt.ro/CAS",,"ED, ",2006,,,,"No"
"Conference",11110,"2006 19th International Vacuum Nanoelectronics Conference (IVNC)",,"http://display.sysu.edu.cn/ivnc-ifes06/",,"ED, NNSFC, ",2006,,,,"No"
"Conference",11120,"2006 IEEE Holm Conference on Electrical Contacts",,"http://www.ewh.ieee.org/soc/cpmt/tc1/h2006/h2006top.html",,", CPMT",2006,,,,"No"
"Conference",11132,"2006 9th International Conference on Information Fusion - (FUSION 2006)",,"http://www.fusion2006.org",,"AES, ",2006,,,,"No"
"Conference",11133,"2006 IEEE International Conference on Ultra-Wideband (ICUWB) (Former Joint UWBST / IWUWBS)",,"http://www.icuwb2006.org/",,"MTT, AP, SP, , COM",2006,,,,"No"
"Conference",11138,"2006 Northern Optics (NO2006)",,"http://www.unik.no/NO2006/",,"EOS, , LEO",2006,,,,"No"
"Conference",11139,"2006 18th Optical Fiber Sensors Conference (OFS'18)",,"http://www.osa.org/ofs-18",,", , , OSA, LEO",2006,,,,"No"
"Conference",11141,"2006 IEEE International Engineering Management Conference - EM 2006 (IEMC)",,"http://www.iemc2006.org",,"Latin America, EM, ",2006,,,,"No"
"Conference",11144,"OCEANS 2006",,"http://www.oceans06mtsieeeboston.org/index.cfm",,"OE, ",2006,,,,"No"
"Conference",11158,"2006 19th International Conference on VLSI Design: concurrently with the 5th International Conference on Embedded Systems Design",,"http://www.vlsiconference.com/",,", , ED, SSC",2006,,,,"No"
"Conference",11159,"2006 International Conference on Active Media Technology (AMT 2006)",,"http://AMT06.fit.qut.edu.au/",,"SMC, , , ",2006,,,,"No"
"Conference",11171,"2006 IEEE Conference on Robotics, Automation and Mechatronics (RAM)",,"http://www.ntu.edu.sg/cis-ram/",,", , , ",2006,,,,"No"
"Conference",11172,"2006 IEEE Conference on Cybernetics and Intelligent Systems (CIS)",,"http://www.ntu.edu.sg/cis-ram/",,", , , ",2006,,,,"No"
"Conference",11173,"2006 IEEE GCC Conference",,"http://www.ieeegcc.org/",,", , , , ",2006,,,,"No"
"Conference",11180,"2006 Design, Automation & Test in Europe Conference & Exhibition (DATE 2006)",,"http://www.date-conference.com",,"EDAA, CEDA, , , , C, ",2006,,,,"No"
"Conference",11181,"2006 33rd International Symposium on Computer Architecture (ISCA)",,"http://www.ece.neu.edu/conf/isca2006/",,"C, ",2006,,,,"No"
"Conference",11183,"2006 International Conference on Distributed Computing in Sensor Systems (DCOSS)",,"http://www.dcoss.org",,"C, , ",2006,,,,"No"
"Conference",11189,"2006 International Conference on Advanced Information Networking and Applications (AINA)",,"http://www.aina-conference.org/2006",,"C, ",2006,,,,"No"
"Conference",11195,"2006 Asia and South Pacific Design Automation Conference ASP-DAC 2006",,"http://www.aspdac.com/aspdac2006/",,", , CAS, IE, ",2006,,,,"No"
"Conference",11201,"2006 10th International Conference on Intelligence in Next Generation Networks (ICIN): Convergence in Services, Media and Networks",,"http://www.icin-conference.com",,", COM",2006,,,,"No"
"Conference",11204,"2006 8th International Conference Advanced Communication Technology (ICACT)",,"http://www.icact.org/",,"Asia and Pacific, ETRI, , , COM, ",2006,,,,"No"
"Conference",11205,"2006 IEEE 17th International Symposium on Personal, Indoor and Mobile Radio Communications - (PIMRC 2006)",,"http://www.pimrc2006.org/",,", , , , , COM",2006,,,,"No"
"Conference",11207,"2006 IEEE Power India Conference",,"http://www.ewh.ieee.org/r10/delhi/piconf.htm",,", , PE",2006,,,,"No"
"Conference",11208,"2006 Next Generation Internet Networks (NGI) - 2nd EURO-NGI Conference on Next Generation Internet Design and Engineering",,"http://www.eurongi2006.upv.es/",,"Spain, , COM, ",2006,,,,"No"
"Conference",11209,"2006 11th International Workshop on Computer-Aided Modeling, Analysis and Design of Communication Links and Networks (CAMAD '06)",,"http://dit.unitn.it/~camad06/",,", COM",2006,,,,"No"
"Conference",11214,"2006 9th International Symposium on Contemporary Photonics Technology (CPT)",,"http://www.cpt-symposium.com/",,", , , JSAP, , IE, OSA, , , OITDA, LEO",2006,,,,"No"
"Conference",11220,"2006 12th IEEE International Symposium on Asynchronous Circuits and Systems - ASYNC",,"http://tima.imag.fr/conferences/ASYNC/committees.htm",,"C, ",2006,,,,"No"
"Conference",11221,"2006 International Symposium on Quality of Electronic Design (ISQED)",,"http://www.isqed.org",,"ED, ",2006,,,,"No"
"Conference",11222,"2006 IFAC Symposium on Power Plants and Power Systems Control (IFAC PPS)",,"http://ifacpps2006.org",,", IFAC, PE",2006,,,,"No"
"Conference",11226,"2006 IEEE International Symposium on the Applications of Ferroelectrics (ISAF)",,"http://www.ieee-uffc.org/",,"UFFC, ",2006,,,,"No"
"Conference",11229,"2006 4th International Symposium on Modeling and Optimization in Mobile, Ad Hoc and Wireless Networks (WiOpt)",,"http://www.wiopt.org/",,", IT, ICST, , ",2006,,,,"No"
"Conference",11231,"2006 First Wireless Euro-Mediterranean International Conference (WEMIC 2006) CANCELLED",,"http://www.just.edu.jo/~wireless/wemic",,", COM",2006,,,,"No"
"Conference",11236,"2006 IEEE International Workshop on Factory Communication Systems - (WFCS 2006)",,"http://wfcs2006.ieiit.cnr.it",,"IE, , ",2006,,,,"No"
"Conference",11238,"2006 IEEE US/EU Baltic International Symposium on Integrated Ocean Observation Syst. for Managing Global & Regional Ecosys.Marine Resch.",,"http://www.US-Baltic2006.org",,", OE, ",2006,,,,"No"
"Conference",11247,"2006 IEEE 56th Electronic Components and Technology Conference (ECTC 2006)",,"http://www.ectc.net",,", CPMT, ",2006,,,,"No"
"Conference",11248,"2006 23rd Biennial Symposium on Communications",,"http://www.ece.queensu.ca/symposium/",,"Dept. of Electrical and           Computer Engine, ",2006,,,,"No"
"Conference",11251,"2006 ASME Summer Bioengineering Conference (SBC)",,"http://divisions.asme.org/bed/events/summer06.html",,"EMB, ",2006,,,,"No"
"Conference",11252,"2006 Visual Information Expert Workshop (VIEW)",,"http://www-virtualsysbio.lip6.fr/view/user/www/index.html",,"EMB, ",2006,,,,"No"
"Conference",11261,"ESSCIRC 2006 - 32nd European Solid State Circuits Conference",,"http://www.esscirc2006.com/",,", SSC",2006,,,,"No"
"Conference",11262,"ESSDERC 2006 - 2006 36th European Solid State Device Research Conference",,"http://www.esscirc2006.com/",,", ED, SSC",2006,,,,"No"
"Conference",11274,"2006 11th International Workshop on Computational Electronics (IWCE-11)",,"http://www.iwce.org",,"ED, , ",2006,,,,"No"
"Conference",11277,"2006 International Conference on Electrical & Computer Engineering (ICECE)",,"http://www.buet.ac.bd/eee/icece/",,", , , ",2006,,,,"No"
"Conference",11279,"2006 Bilingual Pan American Health Care Engineering Conf. and Clinical/Hospital Engineering Workshop (PAHCE 2006)",,"http://pahce.acsup.org/",,"EMB, ",2006,,,,"No"
"Conference",11280,"2006 Distributed Diagnosis & Home Healthcare (D2H2)",,"http://icsl.ee.washington.edu/d2h2/",,"EMB, , , ",2006,,,,"No"
"Conference",11281,"2006 2nd International Conference on Information & Communication Technologies: from Theory to Applications (ICTTA)",,"http://ictta.enst-bretagne.fr/",,", , COM, ",2006,,,,"No"
"Conference",11282,"2006 International Conference on Parallel Architectures and Compilation Techniques (PACT)",,"http://www.pactconf.org",,", C, ",2006,,,,"No"
"Conference",11290,"2006 International Workshop on Finite Elements for Microwave Engineering (FEM)",,"http://courses.ee.sun.ac.za/FEM2006/",,", , MTT, , AP",2006,,,,"No"
"Conference",11295,"2006 7th IEEE Workshop on Mobile Computing Systems and Applications (WMCSA)",,"http://research.ihost.com/wmcsa2006/tbd.html",,", , C",2006,,,,"No"
"Conference",11297,"2006 Information and Communication Technology Environment Africa (ICTE AFRICA)",,"http://www.nepadcouncil.org/ictcommission/index.html",,", COM",2006,,,,"No"
"Conference",11299,"2006 32nd Annual Northeast Bioengineering Conference",,"http://ww2.lafayette.edu/~nebc2006/",,"EMB, ",2006,,,,"No"
"Conference",11300,"2006 International Conference of Communications, Circuits and Systems (ICCCAS)",,"http://icccas06.uestc.edu.cn",,"CUHK, , CAS, UESTC, , COM",2006,,,,"No"
"Conference",11301,"2006 7th International Conference on Automatic Face & Gesture Recognition (FG 2006)",,"http://www.fg2006.ecs.soton.ac.uk/",,"Engineering & Physical Science Research Council, ",2006,,,,"No"
"Conference",11302,"2006 International Conference on Information and Communication Technologies and Development (ICTD)",,"http://www.sims.berkeley.edu/events/ictd2006/index.htm",,"SIT, ACM, ",2006,,,,"No"
"Conference",11307,"2006 6th International Conference on ITS Telecommunications (ITST)",,"http://www.itst2006.uestc.edu.cn/",,", , UESTC, , ",2006,,,,"No"
"Conference",11309,"2006 5th International Conference on Development and Learning (ICDL 2006)",,"http://www.icdl06.org/",,", CIS",2006,,,,"No"
"Conference",11312,"2006 IEEE Workshop on Distributed Intelligent Systems (DIS): Collective Intelligence and its Applications",,"http://www.action-m.com/dis2006/",,"SMC, , ",2006,,,,"No"
"Conference",11313,"2006 9th International Conference on Electromagnetic Interference and Compatibility (INCEMIC 2006)",,"http://www.semcei.org",,"EMC, , ",2006,,,,"No"
"Conference",11317,"2006 IEEE Sarnoff Symposium",,"http://www.sarnoffsymposium.org",,"ED, MTT, , , COM",2006,,,,"No"
"Conference",11319,"2006 International Conference on Computer and Communication Engineering (ICCCE)",,"http://www.iiu.edu.my/iccce06/",,", ",2006,,,,"No"
"Conference",11321,"2006 International Conference on COTS-Based Software Systems (ICCBSS)",,"http://www.iccbss.org/2006/",,", C",2006,,,,"No"
"Conference",11322,"2006 IEEE International Conference on Networking, Sensing and Control (ICNSC)",,"http://web.umr.edu/~icnsc06/",,"SMC, , ",2006,,,,"No"
"Conference",11324,"2006 CIE International Conference on Radar (CIE ICR '06)",,"http://www.cie-china.org/radar2006/",,", CIE, , , AES, , ",2006,,,,"No"
"Conference",11325,"2006 1st Electronic Systemintegration Technology Conference (ESTC)",,"http://www.estc-conference.net/",,"CPMT, , , ",2006,,,,"No"
"Conference",11326,"2006 International Workshop on System  Level Interconnect Prediction (SLIP)",,"http://www.sliponline.org/",,", C",2006,,,,"No"
"Conference",11327,"2006 4th Annual IEEE/ACM International Symposium on Code Generation and Optimization (CGO)",,"http://www.cgo.org/",,"C, , ",2006,,,,"No"
"Conference",11330,"2006 IEEE International Conference on Sensor Networks, Ubiquitous and Trustworthy Computing (SUTC)",,"http://sutc2006.asia.edu.tw/",,", C, ",2006,,,,"No"
"Conference",11331,"2006 IEEE/ACM 6th Joint Conference on Digital Libraries (JCDL)",,"http://www.jcdl2006.org/",,"C, , ",2006,,,,"No"
"Conference",11333,"2006 28th International Conference on Information Technology Interfaces (ITI)",,"http://www.iti.srce.hr/cfp.html",,"Europe, , , , , , , , I",2006,,,,"No"
"Conference",11335,"2006 International Conference on Perspective Technologies and Methods in MEMS Design (MEMSTECH)",,"http://www.lp.edu.ua/Institute/IKN/CAD/MEMSTECH/",,"ED, , LPNU, ",2006,,,,"No"
"Conference",11337,"2006 IEEE International Conference on Electro/Information Technology (eit2006)",,"http://www.eit-conference.org/eit2006/",,"Central USA, CAS, AP, ",2006,,,,"No"
"Conference",11338,"2006 12th Biennial IEEE Conference on Electromagnetic Field Computation (CEFC)",,"http://www.cefc2006.com/",,", ",2006,,,,"No"
"Conference",11340,"2006 IEEE/SMC International Conference on System of Systems Engineering (SoSE)",,"http://ieeesose2006.ece.unm.edu/",,"SMC, , ",2006,,,,"No"
"Conference",11341,"2006 Annual Conference on Systems Engineering Research (CSER)",,"http://www.incose-la/cser06",,", AES, INCOSE",2006,,,,"No"
"Conference",11344,"IEEE PROCON 2006",,"http://ieee-cr-section.org/",,,2006,,,,"No"
"Conference",11345,"2006 Conference on e-Learning Applications",,"http://www.hiteknofal.com/elearning",,", , ",2006,,,,"No"
"Conference",11346,"2006 Power Systems Conference (PSC) Advanced Metering, Protection, Control, Communication, and Distributed Resources",,"http://www.ces.clemson.edu/powsys2006/",,", , , , SNL, PE",2006,,,,"No"
"Conference",11347,"2006 First International Conference on Innovative Computing, Information and Control (ICICIC)",,"http://icicic06.njtu.edu.cn/",,"CAS, BJU, , ",2006,,,,"No"
"Conference",11349,"2006 IEEE Symposium on Computer-Based Medical Systems (CBMS)",,"http://cbms2006.ece.byu.edu/",,", C, ",2006,,,,"No"
"Conference",11358,"2006 International Conference on Information Technology: Research and Education - ITRE",,"http://www.afeka.ac.il/itre2006/",,", , , COM",2006,,,,"No"
"Conference",11362,"2006 International Workshop on Wearable MNT for Personalized Health Applications",,"http://www.phealth-2006.com/",,"EMB, ",2006,,,,"No"
"Conference",11364,"2006 IQPC's Laboratory Informatics Conference",,"http://www.iqpc.com/na-2380-01",,"EMB, ",2006,,,,"No"
"Conference",11371,"2006 21st IEEE/ACM International Conference on Automated Software Engineering (ASE)",,"http://www.ase-conference.org",,"C, , , IPSJ",2006,,,,"No"
