"Type","ID","Name","Description","URL","Tags","Societies","Year","Standard Status","Technical Committees","Keywords"
"Conference",544,"1983 International Optical Computing Conference",,,,"Computer Society - C,Society of Photo-Optical Instrumentation Engineers - SPIE",1983,,,
"Conference",545,"1983 Rubber and Plastics Technical Conference",,,,"Industry Applications Society - IA,Akron Section",1983,,,
"Conference",546,"SOUTHEASTCON '83",,,,"Region 03 - Southeastern USA,Orlando Section",1983,,,
"Conference",550,"IEEE INFOCOM '83",,,,"Computer Society - C,Communications Society - COM",1983,,,
"Conference",551,"International Conference on Acoustics, Speech, & Signal Processing (ICASSP '83)",,,,"Signal Processing Society - SP",1983,,,
"Conference",552,"Tutorial Week Europe '83",,,,"Computer Society - C",1983,,,
"Conference",553,"IEEE Tutorials on Computers in Industry (in conjunction with Hanover Fair '83)",,,,"Computer Society - C,Industrial Electronics Society - IE,Region 08 - Europe,Middle East,Africa",1983,,,
"Conference",554,"American Power Conference",,,,"Power Engineering Society - PE,Illinois Institute of Technology",1983,,,
"Conference",556,"ELECTRO '83",,,,"Region 01- Northeastern USA,Central New England Council,Metropolitan Section Activities Council,Electronic Representatives Association",1983,,,
"Conference",557,"1983 IEEE Region 5 Conference- ""Technology For An Efficient Tommorrow""",,,,"Region 05 - Southwestern USA,Houston Section,University of Houston",1983,,,
"Conference",558,"1983 IEEE West Coast Test Workshop",,,,"Computer Society - C",1983,,,
"Conference",559,"Rural Electric Power Conference",,,,"Industry Applications Society - IA,Des Moines Section",1983,,,
"Conference",560,"Workshop on Software Engineering Technology Transfer",,,,"Computer Society - C",1983,,,
"Conference",561,"1983 IEEE Symposium on Security and Privacy (SRSP)",,,,"Computer Society - C",1983,,,
"Conference",562,"IEEE/ASME Joint Railroad Conference",,,,"Industry Applications Society - IA,American Society of Mechanical Engineers - ASME",1983,,,
"Conference",563,"Asilimar Microprocessor Workshop",,,,"Computer Society - C",1983,,,
"Conference",564,"IEEE Computer Society Workshop on Laboratories For Reliable Systems Research",,,,"Computer Society - C",1983,,,
"Conference",567,"1983 International Symposium on Circuits and Systems",,,,"Circuits and Systems Society - CAS",1983,,,
"Conference",568,"Offshore Technology Conference",,,,"Oceanic Engineering Society - OE,American Institute of Mining, Metallurgical and        Petroleum Engin,American Society of Civil Engineers,American Society of Mechanical Engineers - ASME,Marine Technology Society,Society of Exploration Geophysicists,Society of Naval Architects and Marine Engineers",1983,,,
"Conference",569,"Textile Industry Technical Conference",,,,"Industry Applications Society - IA",1983,,,
"Conference",570,"Industrial & Commercial Power Systems Conference (I & CPS)",,,,"Industry Applications Society - IA,Milwaukee Section",1983,,,
"Conference",572,"Pulp & Paper Industry Technical Conference - PPIC",,,,"Industry Applications Society - IA,New Orleans Section",1983,,,
"Conference",573,"Optizimation Day '83",,,,"Control Systems Society - CS",1983,,,
"Conference",574,"Spring '83 Computer Packaging Workshop",,,,"Computer Society - C",1983,,,
"Conference",575,"Seismic Risk and Heavy Industrial Facilities",,,,"Nuclear and Plasma Sciences Society - NPS",1983,,,
"Conference",576,"1983 Conference on Crime Countermeasures & Security",,,,"Aerospace and Electronic Systems Society - AES,Lexington Section,University of Kentucky",1983,,,
"Conference",577,"1983 Recent Development in Fiber Optic Communication Systems",,,,"Computer Society - C,Communications Society - COM,New York Section",1983,,,
"Conference",578,"33rd Electronic Components Conference (ECC '83)",,,,"Components, Packaging and Manufacturing Technology Society - CPMT,Electronic Industries Association",1983,,,
"Conference",580,"NAECON '83 - National Aerospace and Electronics Conference",,,,"Aerospace and Electronic Systems Society - AES,Dayton Section",1983,,,
"Conference",581,"2nd Software Engineering Standards Applications Workshop",,,,"Computer Society - C",1983,,,
"Conference",582,"Power Industry Computer Applications Conference (PICA)",,,,"Power Engineering Society - PE",1983,,,
"Conference",583,"Conference on Lasers and Electro-Optics (CLEO '83)",,,,"Lasers and Electro-Optics Society - LEO,Optical Society of America - OSA",1983,,,
"Conference",585,"2nd International Conference on Picture Archiving and Communication Systems for Medical Applications (PAC II)",,,,"Computer Society - C,Communications Society - COM,Systems, Man, and Cybernetics Society - SMC,Society of Photo-Optical Instrumentation Engineers - SPIE",1983,,,
"Conference",587,"Cement Industry Conference",,,,"Industry Applications Society - IA",1983,,,
"Conference",589,"Custom Integrated Circuits Conference",,,,"Electron Devices Society - ED,Rochester Section",1983,,,
"Conference",590,"13th International Symposium on Multiple-Valued Logic",,,,"Computer Society - C",1983,,,
"Conference",591,"International Conference on Plasma Science",,,,"Nuclear and Plasma Sciences Society - NPS",1983,,,
"Conference",592,"1983 Antennas & Propagation & USNC/URSI Meeting",,,,"Antennas and Propagation Society - AP,U.S. National Committee/Intl. Union of Radio Science",1983,,,
"Conference",593,"DATABASE Week",,,,"Computer Society - C,Association for Computing Machinery - ACM",1983,,,
"Conference",594,"MELECON '83",,,,"Region 08 - Europe,Middle East,Africa,Greece Section",1983,,,
"Conference",595,"Trends and Applications 1983: Automating Intelligent Behavior: Applications and Frontiers",,,,"Computer Society - C,Washington Section,National Bureau of Standards,United States Department of Commerce",1983,,,
"Conference",596,"5th Biennial University/ Government/Industry Microelectronics Symposium",,,,"Components, Packaging and Manufacturing Technology Society - CPMT,Electron Devices Society - ED",1983,,,
"Conference",597,"10th Annual Engineering Conference on Reliability, Availability, and Maintainability for the Electric Power Industry",,,,"Reliability Society - R,American Society of Quality Control,Canadian Electrical Association",1983,,,
"Conference",598,"1983 Vehicular Technology Conference (VTC)",,,,"Vehicular Technology Society - VT",1983,,,
"Conference",599,"1983 International Microwave Symposium & Workshops",,,,"Microwave Theory and Techniques Society - MTT",1983,,,
"Conference",600,"IEEE Microwave & Millimeter Wave Monolithic Circuits Symposium",,,,"Electron Devices Society - ED,Microwave Theory and Techniques Society - MTT",1983,,,
"Conference",601,"37th Annual Symposium on Frequency Control",,,,"Ultrasonics, Ferroelectrics & Frequency Control Society - UFFC,U.S. Army Electronics Research & Development Command",1983,,,
"Conference",602,"Solid - State Transducers '83",,,,"Region 08 - Europe,Middle East,Africa,European Physical Society - EPS",1983,,,
"Conference",604,"IEEE International Symposium on Applications of Ferroelectrics",,,,"Ultrasonics, Ferroelectrics & Frequency Control Society - UFFC,National Bureau of Standards",1983,,,
"Conference",605,"Mining Industry Technical Conference",,,,"Industry Applications Society - IA",1983,,,
"Conference",608,"4th International Pulsed Power Conference",,,,"Region 06 - Western USA,Albuquerque Section",1983,,,
"Conference",609,"Power Electronics Specialists Conference - PESC",,,,"Aerospace and Electronic Systems Society - AES,Circuits and Systems Society - CAS,Electron Devices Society - ED,Industry Applications Society - IA,Industrial Electronics Society - IE,Magnetics Society - MAG,Power Engineering Society - PE",1983,,,
"Conference",610,"ESMO '83 - Conference on Live Line Maintenance",,,,"Power Engineering Society - PE",1983,,,
"Conference",612,"International Conference on Consumer Electronics (ICCE '83)",,,,"Consumer Electronics Society - CE",1983,,,
"Conference",615,"1983 10th International Symposium on Computer Architecture (ISCA)",,,,"Computer Society - C,Association for Computing Machinery - ACM,Swedish Board of Technical Development",1983,,,
"Conference",616,"OHMCON '83 - High Technology Electronics Exhibition and Convention",,,,"Region 02 - Eastern USA,Region 04 - Central USA,Southeastern Michigan Section,Electronic Conventions",1983,,,
"Conference",617,"NASECODE III-3rd International Conference on the Numerical Analysis of Semiconductor Devices & Integrated Circuits",,,,"Electron Devices Society - ED,Irish Mathematics Society,Institute for Numerical Computation and Analysis",1983,,,
"Conference",618,"3rd International Symposium on Computer-Aided Seismic and Discrimination",,,,"Computer Society - C",1983,,,
"Conference",619,"4th IFAC/IFORS Conference on the Modeling and Control of National Economies",,,,"Control Systems Society - CS,International Federation of Automatic Control - IFAC",1983,,,
"Conference",620,"International Conference on Communications (ICC '83)",,,,"Aerospace and Electronic Systems Society - AES,Communications Society - COM,Geoscience and Remote Sensing Society - GRS,Boston Section",1983,,,
"Conference",621,"Conference on Computer Vision and Pattern Recognition - CVPR '83",,,,"Computer Society - C",1983,,,
"Conference",622,"1983 IEEE 6th Symposium onm Computer Arithmetic (ARITH)",,,,"Computer Society - C",1983,,,
"Conference",623,"Device Research Conference (DRC)",,,,"Electron Devices Society - ED",1983,,,
"Conference",625,"Machine Processing of Remotely Sensed Data (LARS)",,,,"Geoscience and Remote Sensing Society - GRS,Purdue University",1983,,,
"Conference",627,"American Control Conference",,,,"Control Systems Society - CS,American Institute of Aeronautics and Astronautics - AIAA,American Institute of Chemical Engineers,American Society of Mechanical Engineers - ASME,Instrument Society of America",1983,,,
"Conference",628,"Design Automation Conference",,,,"Computer Society - C",1983,,,
"Conference",629,"Fouth International Conference on Integrated Optics and Optical Fiber Communication",,,,"Lasers and Electro-Optics Society - LEO,Institute of Electronics and Communication Engineers ofJapan,The Institute of Electrical Engineers of Japan - IEEJ,Optical Society of America - OSA",1983,,,
"Conference",630,"International Symposium on Fault-Tolerant Computing",,,,"Computer Society - C",1983,,,
"Conference",631,"International Conference on Conduction and Breakdown in Solid Dielectrics",,,,"Dielectrics and Electrical Insulation Society - DEI",1983,,,
"Conference",632,"Power Engineering Society Summer Meeting",,,,"Power Engineering Society - PE",1983,,,
"Conference",659,"Nuclear and Space Radiation Effects Conference",,,,"Nuclear and Plasma Sciences Society - NPS",1983,,,
"Conference",660,"SOFTFAIR - Software Development, Tools, Techniques and Alternatives",,,,"Computer Society - C,Association for Computing Machinery - ACM,National Bureau of Standards",1983,,,
"Conference",662,"1983 IEEE Cornell Conference on High Speed Semiconductor Devices and Circuits",,,,"Electron Devices Society - ED,Microwave Theory and Techniques Society - MTT",1983,,,
"Conference",663,"6th IEEE Nonvolatile Semiconductor Memory Workshop",,,,"Electron Devices Society - ED",1983,,,
"Conference",664,"Intersociety Energy Conversion Engineering Conference (IECEC)",,,,"Aerospace and Electronic Systems Society - AES,Electron Devices Society - ED,American Chemical Society - ACS,American Institute of Aeronautics and Astronautics - AIAA,American Institute of Chemical Engineers,Society of Automotive Engineers - SAE",1983,,,
"Conference",665,"International Electromagnetic Compatibility Symposium",,,,"Electromagnetic Compatibility Society - EMC",1983,,,
"Conference",667,"1983 International Conference on Parallel Processing (ICPP)",,,,"Computer Society - C,Ohio State University",1983,,,
"Conference",668,"OCEANS '83 - Effective Use of The Sea-An Update",,,,"Oceanic Engineering Society - OE",1983,,,
"Conference",670,"International Geoscience & Remote Sensing Symposium (IGARSS '83)",,,,"Geoscience and Remote Sensing Society - GRS",1983,,,
"Conference",673,"1983 L'Aquila Workshop on Digital Signal Processing",,,,"Signal Processing Society - SP",1983,,,
"Conference",674,"Fifth Annual EMB-S Conference on Frontiers of Engineering and Computing in Health Care (includes COMPMED)",,,,"Engineering in Medicine and Biology Society - EMB",1983,,,
"Conference",675,"Intensive Intro To Prolog: A Tutorial",,,,"Computer Society - C",1983,,,
"Conference",676,"International Conference on Computer-Aided Design (ICCAD '83)",,,,"Computer Society - C,Circuits and Systems Society - CAS",1983,,,
"Conference",677,"36th Annual Conference on Engineering in Medicine and Biology",,,,"Engineering in Medicine and Biology Society - EMB,Alliance for Engineering in Medicine & Biology",1983,,,
"Conference",678,"1983 VLSI Symposium",,,,"Electron Devices Society - ED,Japan Society of Applied Physics - JSAP",1983,,,
"Conference",679,"Petroleum & Chemical Industry Technical Conference (PCIC)",,,,"Industry Applications Society - IA",1983,,,
"Conference",680,"2nd European Signal Processing Conference",,,,"Region 08 - Europe,Middle East,Africa",1983,,,
"Conference",682,"MIDCON '83 - Electronic Show and Convention",,,,"Region 04 - Central USA,Region 05 - Southwestern USA,Chicago Section,Dallas Section,Electronic Conventions",1983,,,
"Conference",684,"COMPCON Fall '83",,,,"Computer Society - C",1983,,,
"Conference",685,"Conference on Interfacial Phenomena in Practical Insulation",,,,"Dielectrics and Electrical Insulation Society - DEI,Department of Energy,National Bureau of Standards",1983,,,
"Conference",686,"Electronic and Aerospace Systems Conference - EASCON 83",,,,"Aerospace and Electronic Systems Society - AES,Washington Section",1983,,,
"Conference",688,"6th International Conference on Digital Satellite Communications",,,,"Communications Society - COM,American Institute of Aeronautics and Astronautics - AIAA",1983,,,
"Conference",689,"33rd Annual Broadcast Symposium",,,,"Broadcast Technology Society - BT",1983,,,
"Conference",691,"10th International Congress on Instrumentation in Aerospace Simulation Facilities (10th ICIASF)",,,,"Aerospace and Electronic Systems Society - AES",1983,,,
"Conference",693,"Joint Power Generation Conference",,,,"Power Engineering Society - PE,American Society of Civil Engineers,American Society of Mechanical Engineers - ASME",1983,,,
"Conference",695,"Holm Conference on Electrical Contacts",,,,"Components, Packaging and Manufacturing Technology Society - CPMT,American Society of Testing and Materials,Illinois Institute of Technology",1983,,,
"Conference",696,"International Electrical and Electronics Conference and Exposition (IEEC & E)",,,,"Region 07 - Canada",1983,,,
"Conference",697,"MAECON - Mid-American Electronics Conference",,,,"Region 05 - Southwestern USA,Kansas City Section,Saint Louis Section,Electronic Conventions",1983,,,
"Conference",698,"IEEE Computer Society Twelfth Workshop on Applied Imagery Pattern Recognition",,,,"Computer Society - C",1983,,,
"Conference",700,"International Symposium on Information Theory",,,,"Information Theory Society - IT",1983,,,
"Conference",701,"Computer-Aided Control System Design Symposium",,,,"Control Systems Society - CS",1983,,,
"Conference",702,"MEDCOMP '83 - Computers, Information, Systems, & Technology Policy in Medicine & Health Care Through the 1980's",,,,"Computer Society - C,Stocker Endowment (Ohio Univ.)",1983,,,
"Conference",703,"8th Data Communications Symposium (8th DATACOMM)",,,,"Computer Society - C,Communications Society - COM,Association for Computing Machinery - ACM",1983,,,
"Conference",705,"1983 Telematic Services Workshop",,,,"Communications Society - COM",1983,,,
"Conference",706,"Electrical/Electronics Insulation Conference",,,,"Dielectrics and Electrical Insulation Society - DEI,National Electrical Manufacturers Association",1983,,,
"Conference",707,"Industry Applications Society Annual Meeting",,,,"Industry Applications Society - IA",1983,,,
"Conference",710,"International Carnahan Conference on Security Technology",,,,"Aerospace and Electronic Systems Society - AES,Region 08 - Europe,Middle East,Africa,Lexington Section,Switzerland Section",1983,,,
"Conference",711,"High Voltage Workshop",,,,"Electron Devices Society - ED,Advisory Group on Electron Devices-DOD,Palisades Institute Industry",1983,,,
"Conference",712,"1983 IEEE SOS/SOI Technology Workshop",,,,"Electron Devices Society - ED",1983,,,
"Conference",713,"Computers in Cardiology Conference",,,,"Computer Society - C",1983,,,
"Conference",714,"Integrated Services Digital Network - ISDN '83",,,,"Communications Society - COM",1983,,,
"Conference",715,"International Radar Symposium India - 83",,,,"Aerospace and Electronic Systems Society - AES,Region 10 - Asia and Pacific,Bangalore Section,Institute of Electrical Engineers,Institute of Electronics & Telecommunication Engineers (India),Society of Electronic Engineers, France",1983,,,
"Conference",716,"2nd International Symposium on Electromagnetic Launch Technology",,,,"Magnetics Society - MAG,Army Armament Research and Development Command,Defense Advanced Research Projects Agency - DARPA",1983,,,
"Conference",718,"ACM & IEEE Sixteenth Annual Workshop on Microprogramming (MICRO - 16)",,,,"Computer Society - C,Association for Computing Machinery - ACM",1983,,,
"Conference",720,"1983 IEEE Computer Society Workshop on Computer Architecture for Pattern Analysis & Image Database Management (CAPAIDM)",,,,"Computer Society - C",1983,,,
"Conference",721,"3rd Symposium on Small Computers in the Arts",,,,"Computer Society - C,Philadelphia Section",1983,,,
"Conference",722,"Conference on Electrical Insulation and Dielectric Phenomena",,,,"Dielectrics and Electrical Insulation Society - DEI",1983,,,
"Conference",723,"Frontiers in Education",,,,"Education Society - E,American Society of Engineering Education",1983,,,
"Conference",724,"Symposium on Reliability in Distributed Software and Database Systems",,,,"Computer Society - C",1983,,,
"Conference",725,"8th Conference on Local Computer Networks",,,,"Computer Society - C",1983,,,
"Conference",727,"Tutorial Week West '83",,,,"Computer Society - C",1983,,,
"Conference",728,"INFORMATICA '83",,,,"Sao Paulo Section,Brazil Council",1983,,,
"Conference",729,"1983 International Test Conference",,,,"Computer Society - C",1983,,,
"Conference",730,"Machine Tools Conference",,,,"Industry Applications Society - IA",1983,,,
"Conference",731,"EdCOMPCON '83 - First Educational Computing Conference",,,,"Computer Society - C,Engineering in Medicine and Biology Society - EMB",1983,,,
"Conference",732,"Int'l Telecommunications Energy Conference (INTELEC 83)",,,,"Communications Society - COM",1983,,,
"Conference",733,"Third ASSP Workshop on Multidimensional Digital Signal Processing",,,,"Signal Processing Society - SP",1983,,,
"Conference",734,"IEEE Professional Communication Conference: ""The Many Facets of Computer Communications""",,,,"Professional Communication Society - PC",1983,,,
"Conference",735,"Symposium on Nuclear Power Systems",,,,"Nuclear and Plasma Sciences Society - NPS,Power Engineering Society - PE,Department of Energy,Electric Power Research Institute",1983,,,
"Conference",736,"1983 IEEE Nuclear Science Symposium",,,,"Nuclear and Plasma Sciences Society - NPS",1983,,,
"Conference",737,"IEEE Personal Computing Workshop: ""Improving The Productivity of the Professional""",,,,"Computer Society - C,Applied Physics Laboratory at the Johns Hopkins        University",1983,,,
"Conference",738,"The Seventh Annual Symposium on Computer Applications in Medical Care",,,,"Computer Society - C,Alliance for Engineering in Medicine & Biology,National Institute of Health",1983,,,
"Conference",740,"Midwest Power Symposium",,,,"Power Engineering Society - PE,Iowa State University",1983,,,
"Conference",742,"1983 IEEE Gallium Arsenide (GaAs) Integrated Circuits Symposium",,,,"Electron Devices Society - ED,Microwave Theory and Techniques Society - MTT",1983,,,
"Conference",743,"4th World Telecommunications Forum",,,,"Aerospace and Electronic Systems Society - AES,Antennas and Propagation Society - AP,Computer Society - C,Communications Society - COM,Massachusetts Institute of Technology",1983,,,
"Conference",744,"1983 Ultrasonics Symposium",,,,"Ultrasonics, Ferroelectrics & Frequency Control Society - UFFC",1983,,,
"Conference",745,"1983 IEEE Military Communications Conference - MILCOM '83",,,,"Communications Society - COM,Armed Forces Communication and Electronics Association - AFCEA,Department of Energy",1983,,,
"Conference",746,"17th Asilomar Conference on Circuits, Systems, & Computers",,,,"Computer Society - C,Naval Postgraduate School,Santa Clara University",1983,,,
"Conference",747,"IEEE/AIAA 5th Digital Avionics Systems Conference (DASC)",,,,"Aerospace and Electronic Systems Society - AES,Seattle Section,American Institute of Aeronautics and Astronautics - AIAA",1983,,,
"Conference",748,"International Conference on Computer Design: VLSI in Computers (ICCD '83)",,,,"Computer Society - C",1983,,,
"Conference",749,"AUTOTESTCON '83",,,,"Aerospace and Electronic Systems Society - AES,Instrumentation and Measurement Society - IM,Fort Worth Section",1983,,,
"Conference",750,"Application & Assessment of Automated Tools for Software Development",,,,"Computer Society - C,Association for Computing Machinery - ACM",1983,,,
"Conference",751,"Workshop on Using Computers in the Employment of the Handicapped",,,,"Computer Society - C",1983,,,
"Conference",753,"1983 IEEE Workshop on Languages for Automation",,,,"Computer Society - C,Illinois Institute of Technology",1983,,,
"Conference",754,"24th Annual Symposium on Foundations of Computer Science",,,,"Computer Society - C",1983,,,
"Conference",755,"1983 IEEE Engineering Management Conference",,,,"Engineering Management Society - EM,Dayton Section",1983,,,
"Conference",756,"1983 IEEE International Computer Software and Applications Conference COMPSAC '83",,,,"Computer Society - C",1983,,,
"Conference",757,"IECON '83 - Annual Conference on Industrial Electronics",,,,"Industrial Electronics Society - IE",1983,,,
"Conference",758,"Western Electronic Show & Convention (WESCON '83)",,,,"Los Angeles Council,San Francisco Bay Area Council,Electronic Representatives Association",1983,,,
"Conference",759,"29th Annual Conference on Magnetism & Magnetic Materials (MMM)",,,,"Magnetics Society - MAG,American Institute of Physics",1983,,,
"Conference",760,"IEEE ASSP Spectrum Estimation Workshop II",,,,"Signal Processing Society - SP",1983,,,
"Conference",761,"NTC '83 - National Telesystems Conference ""Space Systems For The National Well-Being and Security""",,,,"Aerospace and Electronic Systems Society - AES",1983,,,
"Conference",762,"Curriculum For Test Technology Workshop",,,,"Aerospace and Electronic Systems Society - AES,University of Minnesota",1983,,,
"Conference",764,"Twelfth Annual Computer Elements Workshop",,,,"Computer Society - C",1983,,,
"Conference",765,"Global Telecommunications Conference (GLOBECOM '83)",,,,"Communications Society - COM,San Diego Section",1983,,,
"Conference",767,"Second Annual Workshop on Interactive Computing: Computer Aided Engineering: Electrical Engineering",,,,"Computer Society - C",1983,,,
"Conference",768,"1983 Semiconductor Interface Specialists Conference",,,,"Electron Devices Society - ED",1983,,,
"Conference",769,"1983 International Electron Devices Meeting - IEDM '83",,,,"Electron Devices Society - ED",1983,,,
"Conference",770,"10th Symposium on Fusion Engineering - SOFE",,,,"Nuclear and Plasma Sciences Society - NPS,Department of Energy,Electric Power Research Institute,Princeton Plasma Physics Laboratory",1983,,,
"Conference",771,"Software Maintenance Workshop",,,,"Computer Society - C,Naval Postgraduate School",1983,,,
"Conference",772,"AFRICON '83 - 1st IEEE Conference for All-Africa African Electrical Technology Conference",,,,"Aerospace and Electronic Systems Society - AES,Electron Devices Society - ED,Power Engineering Society - PE,Region 08 - Europe,Middle East,Africa,Kenya Section",1983,,,
"Conference",773,"1983 IEEE Real-Time Systems Symposium",,,,"Computer Society - C",1983,,,
"Conference",774,"1983 Power Semiconductor Devices Workshop",,,,"Electron Devices Society - ED,National Bureau of Standards",1983,,,
"Conference",775,"IEEE Computer Society International Symposium on Computer Networking",,,,"Computer Society - C",1983,,,
"Conference",776,"Total System Reliability Symposium",,,,"Computer Society - C,Reliability Society - R",1983,,,
"Conference",777,"1983 Winter Simulation Symposium",,,,"Computer Society - C,Systems, Man, and Cybernetics Society - SMC,Association for Computing Machinery - ACM,American Institute of Industrial Engineering,The Society for Computer Simulation (Simulation Councils, Inc.),The Institute for Management Sciences",1983,,,
"Conference",778,"8th Annual International Conference on Infrared & Millimeter Waves",,,,"Microwave Theory and Techniques Society - MTT",1983,,,
"Conference",779,"22nd Conference on Decision and Control",,,,"Control Systems Society - CS",1983,,,
"Conference",781,"IEEE SMC International Conference on ""Systems, Man, & Cybernetics""",,,,"Systems, Man, and Cybernetics Society - SMC,India Council",1983,,,
"Conference",962,"3rd IEEE Careers Conference",,,,"United States Activities Boards",1983,,,
"Conference",963,"International Workshop on Data Management in Distributed Real Time Telecommunications Systems",,,,"Communications Society - COM",1983,,,
"Conference",15,"SOUTHCON '84",,,,"Region 04 - Central USA,Orlando Section",1984,,,
"Conference",16,"Topical Meeting on Optical Fiber Communication",,"http://icm5.ieee.org",,"Lasers and Electro-Optics Society - LEO,Optical Society of America - OSA",1984,,,
"Conference",17,"1984 Reliability  & Maintainability Symposium",,,,"Reliability Society - R,American Institute of Aeronautics and Astronautics - AIAA,American Society of Mechanical Engineers - ASME,American Society of Quality Control,Institute of Environmental Sciences",1984,,,
"Conference",19,"IEEE Power Engineering Society 1984 Winter Meeting",,,,"Power Engineering Society - PE",1984,,,
"Conference",20,"IEEE Founders Centennial Program",,"http://localhost.ieee.org",,"Centennial Task Force,Power Engineering Society - PE",1984,,,
"Conference",21,"Software Process Workshop",,,,"Computer Society - C,Association for Computing Machinery - ACM,British Computer Society,Institute of Electrical Engineers (U.K.)",1984,,,
"Conference",22,"1984 International Symposium on Logic Programming",,,,"Computer Society - C",1984,,,
"Conference",24,"(Automatic Test Program) ATPG Workshop",,,,"Computer Society - C",1984,,,
"Conference",26,"1984 Phoenix Workshop on VLSI Technology",,,,"Electron Devices Society - ED,Phoenix Waves and Devices Chapter",1984,,,
"Conference",27,"1984 International Joint Alpine Symposium on Medical Computer Graphics & Image Communications & Clinical Advances in Neuro CT/NMR",,,,"Computer Society - C,Foundation for Advanced Medical Display Technology",1984,,,
"Conference",28,"WINCON '84 - 1984 Winter Convention of Aerospace and Electronics Systems",,,,"Aerospace and Electronic Systems Society - AES,Los Angeles Council",1984,,,
"Conference",30,"Technology Update - Video Supplement to SPECTRUM",,,,"IEEE Continuing Education Department",1984,,,
"Conference",31,"1984 VLSI Workshop on Test Chip",,,,"Electron Devices Society - ED",1984,,,
"Conference",33,"1984 TAB Centennial Briefing For the Technical Press",,,,"Centennial Task Force",1984,,,
"Conference",34,"IEEE 1984 Conference on U. S. Technology Policy ""Challenge 21""",,,,"Centennial Task Force,United States Activities Boards",1984,,,
"Conference",35,"1984 International Solid State Circuits Conference (ISSCC '84)",,,,"Solid-State Circuits Society - SSC,San Francisco Section",1984,,,
"Conference",36,"COMPCON Spring '84",,,,"Computer Society - C",1984,,,
"Conference",37,"1984 IEEE Built-In Self Test Workshop",,,,"Computer Society - C",1984,,,
