"Name","Abbreviation","URL","Tags"
"Council on Superconductivity","CSC","","Power grid capacity, trasnceivers, ultra-wide bandwidth, Digital RF, High Performance Computing, Petaflops, electronic warfare, Signal Intelligence, Wireless Communications, MRI, MSI, Magnetic Source Imaging, Magnetocardiography, Magnetocardiogram, MEG, Magnetoencephalography, Magnetoencephalogram, SQUIDs, sensing and instrumentation, wireless control and communication, Quantum computing, Networking, power grid fragility, Communications, magnetics, instrumentation and test, wireless radios, Secure Communications, energy storage"
"Dielectrics & Electrical Insulation","DEI","","Gaseous Dielectrics, Electrical Insulating Materials, Electrical Insulation Systems, Electrical Insulating Materials, Liquid Dielectrics, Outdoor Insulation, Electrical Insulating Systems, Failure Mechanisms, Electrohydrodynamics, Diagnostics, Biodielectrics, Thermal Stress, Electrical Stress, Environmental Stress, Mechanical Stress, Multifactor Stress, Electrical Insulation Systems"
"Education","E","",""
"Electromagnetic Compatibility","EMC","","validation, root cause, accessibility, high voltage, low voltage, safety hazards, finite element analysis, finite difference time domain, FEM, FDTD, moment method, MoM, HPEM, EMP, IEMP, SGEMP, HEMP, NEMP, SREMP, IEMI, HIRF, ESD, LEMP, Lightning, EM Shielding, High-level Testing, EM Mitigation, EM Protection, EM Simulators, EM Assessments, RF Weapons, Arcing, Non-linear effects, SPD, EMP Hardening, IEMI Detectors, Hardening, Critical Infrastructure, EM Weapons, RF Weapons, Nuclear Weapons, Defense, Radars, HPM, UWB, Hyperband, Mesoband, Susceptibility, EM Terrorism, electromagnetic compatibility, emissions, immunity, interference, RF compatibility, TREE, interleving, NEMP, Lightning, Power Quality, adaptive antenna arrays, collocation, HPM, transients, electrical overstress, Safety Critical, frequency hopping, SGEMP, UWB, HERP, Anti-Jam, Emission, mission critical, EMV, ECCM, Electronic Protect, error correction codes, immunity, safety, noise cancelling, safety critical, power quality, EMC, Flight Safety, EMI Control, surges, susceptibility, Electromagnetic Environmental Effects (EME), Collocation, HERF, LEMP, Electromagntic Interference and Compatibility, Emission Control (EMCON), waveform diversity, Intra-System Compatibility, Intra-system compatibility, spread spectrum, product and functional safety, lightning, HERO, Mission Critical, emissions, cylclic codes, Nuclear Survivability, electromagnetic packaging, failure analysis"
"Electron Devices","ED","","transmitters and receivers, low power devices, memory, integrated systems, sensor devices, interconnect devices, smart sensors, integrated circuits, portable devices, green manufacturing, distributed sensor networks, RFID, Energy Harvesting, photovoltaics, Environmental Acoustics, fuel_cells, Haptics (wearable computing), nanotechnology, wireless radios, Environmental Sensors, sensing and vehicle communications, robotics and robots, wireless control and communication, wearable sensors, Handheld Radar, Sensor Networks, radio, Target Avoidance Radar, batteries, sensors and actuators, Intelligent Systems"
"Engineering in Medicine & Biology","EMB","","Personal Health Records, Neural Systems, Rehabilitation Medicine, Biomedical Signals, Electronic Medical Records Standards, Electronic Medical Records"
"Geoscience & Remote Sensing","GRS","","carbon assessment, satellite observation, airborne observation"
"Industrial Electronics","IE","",""
"Industry Applications","IAS","",""
"Information Theory","IT","",""
"Instrumentation & Measurement","IM","","measurement theory, measurement uncertainty, smart sensors, Nano Sensors, wireless sensors, sensors and actuators, sensing and instrumentation, sensor devices, sensor networks, Sensing, optical sensors, measuring performance, Environmental Sensors, wireless sensing"
"Intelligent Transportation Systems","ITS","",""
"Magnetics","MAG","","biomagnetism, biomedical applications, MRAM, Spintronics, Microwave materials, spintronics, MRAM, permanent magnets, refrigerants, magnetic recording, permanent magnets, biomagnetism, Spintronics, MRAM, motors, actuators, transformers, inductors, magneto-optics, sensors, magnetic fluids, microwave materials, nanomagnetism, biomedical applications, magnetics"
"Microwave Theory & Techniques","MTT","",""
"Nanotechnology Council","NANO","",""
"Nuclear & Plasma Science","NPS","","nuclear radiation effects, space radiation effects, single particle radiation effects, low dose radiation effects, high dose-rate radiation effects, logic upset, High Energy Density Physics, HEDP, Z-Pinch, Wire Arrays, K-line radiation, Black Body Sources, Photodetectors, scintillators, PET, Positron Emission Tomography, Nonlethal weapons, Smart Weapons"
"Oceanic Engineering","OE","","reverberation, bottom types, Underwater acoustics, underwater cables, bubble clouds, operational oceanography, towed arrays, ctd, xbt, rov"
"Photonics","PHOT","","Lidar, lasers, fiber laser, Lasers, LADAR, DNA sequencing, LEDs, solid state lighting, photodynadic therapy, digital cinema, datacomms, LIDAR, collision avoidance, disk laser, optical sensors, retinal scanning, LCD dispalys, Ladar, burst illumination, 3-D imaging, range finding, plasma displays, effcient displays, computed radiography, 3D imaging, Sensor Networks, 3D TV, Quantum computing, photovoltaics, cutting, Laser Radar, smart sensors, sensors and actuators, manufacturing, fiber optics, Energy Harvesting, communication systems, semiconductor, Optical/Fibre communications, laser welding, autonomous vehicles, Laser TV, lasers, homeland security, Networking, Data Engineering, Parallel systems"
"Power Electronics","PEL","","wearable power, transcutaneous power, body power systems, MRI, X-ray, implantable power, robotics, dc power supplies, electrical safety and protection, standy-by power, UPS, static transfer switches, electronic surgical instruments, power semiconductors, industrial drives, power quality, sag correction, active filters, voltage regulators, power factor correction, process control, soft starters, factory automation, uninterruptible power supplies, standy-by power, fuel cell converters, emergency power, emergency lighting, energy efficiency, carbon credits, class D amplifiers, electric vehicles, hybrid vehicles, plug-ing hybrids, automotive accessories, engine controls, locomotive drives, light rail transit, electric ship, on-board power, MAGLEV, electric scooter, electric bicycles, golf carts, segway, power supply, dc power conversion, thermal management, smart grid, wind, power line communications, active filter, utility interface, harmonics, high voltage dc, sustainable energy, photovoltaics, wind, power factor correction, fuel cell converter, alternative energy interface, microgrid converters, ultracapacitor, energy storage, burst power, lifetime improvement, high cycling, energy throughput, buck-boost buffer, battery-ultracapacitor combination, energy recuperator, voltage stabilization, dynamic voltage restorer, active parallel energy storage, passive parallel energy storage, traction drive, lighting controls, surge protection, UPS, appliances, power supply blocks, led lighting, active filters, MRI, CT, electric vehicles, automotive power systems, electric power steering, plug-in hybrids, fuel cell vehicles, mobile power, electromechanical actuators, high-temperature semiconductors, active suspensions, ultracapacitors, bidirectional battery charging, grid-interactive hybrids, inverters, battery management, charge balancing, power supply, motor drives, power converters, ship-board power, rail guns, energy harvesting, FACTS devices, solid state circuit breakers, lightning protection, energy storage, charging systems, efficient energy conversion, sustainable energy, renewable energy, energy efficiency, plug-in hybrid vehicles, electric vehicles, energy efficiency, electric locomotives, wind power, solar power, wave power, uninterruptible power supplies, EMI, power supply, energy storage, batteries, 48V converters, on-chip power conversion, ship propulsion, hybrid tanks, hybrid vehicles, unmanned vehicles, UAVs, torpedo propulsion, light weight power packs, mobile power, aerospace power, fly-by-wire, 400Hz power, VSCF drives, solar power, display power, plasma tv power supplies, audio amplifiers, class d, power supplies, energy harvesting, contactless power delivery, cordless power, battery management, battery chargers, energy packs, lighting controls, led projectors, led lighting, compact flourescents, rural power, electric traction, energy savings, LED lighting, hybrid vehicles, reliable power, drive systems, relaible power, inverters, transcutaneous power, portable power, embedded power, magnetics, personal networks, hybrid, power semiconductors, remote power, switching amplifiers, switching amplifiers, electronic packaging, energy harvesting, environmental, prosthetics, power saving, Communications, sustainability, photovoltaics, reliable power, Electronic Packaging, electric traction, hybrid vehicles, energy storage, energy efficiency solutions, batteries, training and continuing education, transportation, Distributed Power, renewable, distributed_generation, alternative, LED lighting, Electronics packaging, fail-safe systems, Electric Ship, infrastructure"
"Power & Energy","PE","","transformer"
"Product Safety Engineering","PSE","","hazard analysis, forensics, product safety, Safety Critical, hazard anlysis, Safety, product and functional safety, hazard, product liability"
"Professional Communication","PC","","documentation, documentation standards, simplified language, language for special purposes, electronic publishing, electronic information, documentation, collaborative technologies, communication tools, user-centered design, usability evaluation, HCI, simplified language, localization, web design, visualization, visual analytics, visual design, technical communication, usability testing, usability evaluation, usability engineering, user-centered design, user analysis, user support, user education, localization, Service Enterprise Engineering, information design, information development, information services, information management, GML, XML, DITA, content management, single sourcing, knowledge management, open source, international technical communication, Collaboration Technologies, wikis, new media, emerging media, HCI, interface design, interaction design, design tools, authoring tools, communication tools, technical communication, usability testing, user-centered design, HCI, web design, documentation, user support, user education, content management, knowledge management, social networking, new media, documentation, text analysis, decision support, Collaborative systems, Social computing, human-machine interfaces, Web services, Content Delivery, communication systems, Command Control Communication Intelligence, Virtual Worlds, design specificaton, communication, Decision Making, Simulation, usability, Situational Awareness, Human-computer Interaction, data visualization, human-machine interaction"
"Reliability ","R","","product lifetime, early life, end of life (EOL), derating factors, fault accommodation, deterioration, prognostics, fault tolerance, mechanical stress analysis, failure modes, fault recovery, ergonomics, accelerated testing, corrosion, System Prognostics and Health Managment (SPHM), hazard anlysis, built-in test, upgradeability, vulnerabilities, hazard, fault accomodation, product liability, on-condition maintenance, maintenance manhours per usage time, life limited items, service lifetime, cognitive, repair, system safety, integrity, hazards, design of experiments (DOE), human factors, supportability, condition based maintenance, physics of failure, trust, reliability modeling, limited life items, hazard analysis, service life, system Prognostics and Health management (PHM), testability, maintainability, environmental stress screening, system security, upgradability, wear, unscheduled maintenance, condition-based maintenance, fault detection, failure rate, reconfiguration, FRACAS, process failure modes and effects analysis, Prognostics and Health Management (PHM), reliability prediction analysis, model-based reasoning, hazard severity, fault isolation, six sigma, failure analysis, health management, dependability, endurance, fatigue, failure reporting, diagnostics, severity of consequences, countermeasures, scheduled maintenance, Maintainability, degradation, human-machine interaction, failures, situational awareness, warning systems, detection systems, maintenance, field failures, warranty, availability, decision support, system integration, ergonomics, Tempest / Data Security, failure mode & effects baseline, sensors for condition-based maintenance, diagnostic tools, risk assessment, human-machine interfaces, Vulnerability, sensor networks, acceptance testing, product security, monitoring, fault, reliability, risk mitigation, smart sensors, recovery, product safety, fail-safe systems"
"Robotics & Automation","RA","",""
"Sensors Council","SEN","","sensor phenomena, Sensor phenomena & characterization (sensitivity- selectivity- noise- aging- hysteresis- dynamic range- interfering effects- etc.), Multiple-sensor systems, intelligent sensing system, sensor arrays, ""electronic nose"" technology, sensor buses, sensor networks, voting systems, telemetering, metallic sensors, thin-film sensors, thick film and bulk strain gauges, pressure sensors, accelerometers, angular rate sensors, displacement transducers, quantum devices, liquid-crystal displays, surface-enhanced Raman scattering (SERS) sensors, Ionizing radiation sensors such as gamma ray - X-ray - charged particle - neutron detectors, Integrated optics/fiber optical devices such as those based on photometry- fluorimetry- surface plasmon resonance- interferometry- ellipsometry, Microwave/millimeter wave sensors, Magnetic sensors such as: magnetoresistors – Hall effect devices- magnetometers - magnetic-field sensors-  solid-state read and write heads, Chemical and biological sensors with emphasis on the electronics and physics aspects of transducing chemical and biological signals into information about chemical and biological agents, Mass-sensitive devices such as quartz crystal microbalances and surface acoustic wave devices, Sensor-Actuators, including integrated sensor-actuators, smart sensor-actuators and networkable sensors-actuators, Combined sensors (electrical & mechanical) such as Automotive- medical-environmental monitoring and control –consumer, alarm and security sensor systems, military sensor systems, nautical sensor systems, aeronautical and space sensor systems, robotics and automation applications, intelligent sensors for applications such as on-line monitoring - process control - test kits -RFID and other identification sensors, Internet based and other remote data acquisition and control of sensors, Packaging and interconnections, Sensor signal processing and array sensor fusion, physical model based statistical sensor array processing; sensors modeling and analysis; processing of wave (EM – acoustic -etc.) and non-wave (chemical – gravity –particle – thermal - radiative and non-radiative); source detection, estimation, and classification including of substances as with chemical sensors, Sensor materials, solid-state sensors, thin-film and thick-film gas sensors, humidity sensors, specific ion sensors (such as pH sensors), radon sensors, carbon monoxide sensors, viscosity sensors, density sensors, acoustic velocity sensors, proximity sensors, altimeters, barometers, force sensors, bulk and surface acoustic wave sensors, ultrasonic sensors, flow meters and flow controllers, gyroscopes and microelectromechanical (MEMS) sensors, Thermal sensors -platinum resistors, thermistors, diode and transistor temperature sensors, thermocouples, thermopiles, pyroelectric and piezoelectric thermometers, calorimeters, bolometers, Optoelectronic/photonic sensors such as: photovoltaic diodes- photoconductors- photodiodes- phototransistors, position-sensitive photodetectors, photodiode arrays, charge-coupled devices, light-emitting diodes, diode lasers, alarm and security sensor systems, military sensor systems, nautical sensor systems, aeronautical and space sensor systems, robotics and automation applications, intelligent sensors for applications such as on-line monitoring - process control - test kits -RFID and other identification sensors, Internet based and other remote data acquisition and control of sensors, Packaging and interconnections, Sensor signal processing and array sensor fusion, physical model based statistical sensor array processing; sensors modeling and analysis; processing of wave (EM – acoustic -etc.) and non-wave (chemical – gravity –particle – thermal - radiative and non-radiative); source detection, estimation, and classification including of substances as with chemical sensors, Sensor materials, solid-state sensors, thin-film and thick-film gas sensors, humidity sensors, specific ion sensors (such as pH sensors), radon sensors, carbon monoxide sensors, viscosity sensors, density sensors, acoustic velocity sensors, proximity sensors, altimeters, barometers, platinum resistors, quantum devices, liquid-crystal displays, surface-enhanced Raman scattering (SERS) sensors, Ionizing radiation sensors such as gamma ray - X-ray - charged particle - neutron detectors, Integrated optics/fiber optical devices such as those based on photometry- fluorimetry- surface plasmon resonance- interferometry- ellipsometry, Microwave/millimeter wave sensors, Magnetic sensors such as: magnetoresistors – Hall effect devices- magnetometers - magnetic-field sensors-  solid-state read and write heads, Chemical and biological sensors with emphasis on the electronics and physics aspects of transducing chemical and biological signals into information about chemical and biological agents, Mass-sensitive devices such as quartz crystal microbalances and surface acoustic wave devices, Sensor-Actuators, including integrated sensor-actuators, smart sensor-actuators and networkable sensors-actuators, Combined sensors (electrical & mechanical), Automotive, medical, environmental monitoring and control, consumer, RFID"
"Signal Processing","SP","","Information Technology, special effects, games, image, video, smart grid, electroacoustics, bio imaging, signal processing, image multidimensional signal, information forensics, machine learning, communications and networking, speech language processing, icaasp, design implementation, technology, sensor, sensor array, theory, signal processing theory, methods, filtering, coding, transmitting, estimating, detecting, analyzing, recognizing, synthesizing, recording, audio, video, speech, image, communication, geophysical, sonar, radar, medical, musical, speech analysis, synthesis, coding, speech recognition, speaker recognition, speech production and perception, speech enhancement, tomography, radar, sonar, geophysics, astronomy, microscopy, crystallography, image scanning, digital toning, information security, surveillance, systems applications, mechanical, thermal, optical, magnetic, radiation, microwave, chemical, biological, mass, ultrasound, x-rays, ct, magnetic resonance, radionuclides, microwaves, light, medical image, analysis, visualization, software design, synchronization, joint processing, multimedia, multimodal signals, data, compression, storage, retrieval, networking, multi modality, devices, systems, synthetic aperture radar, sar, over the horizon radar, Doppler radar, Ground Moving Indicator radar, STAP radar, physical layer, detection, estimation, blind channel identification, equalization, time reversal, time reversal radar, convolution, filter, filtering, filter design, adaptive filtering, adaptive filters, Fourier transform, discrete Fourier transform, fast Fourier transform, FFT, DFT, discrete cosine transform, discrete sine transform DCT, DST, wavelets, wavelet transform, fast algorithms, medical imaging, medical diagnostics, magnetic resonance imaging, at scan, radiology, X ray, EEG, ECG, MMG, ultrasound imaging, informatics, sociological mobility aware networks, Information Retrieval, wireless control and communication, Space Radar, network management, Airborne Radar, cognitive radio, mobile sensor networks, Smart Weapons, Prognostics and Health Management (PHM), Health information systems, Security & privacy, Speech and Audio Processing, wireless sensing, Tempest / Data Security, Shipborne Radar, fault detection, Wireless Access, home networking, information security, Harbor Security, Information Forensics, large scale systems, wireless television, Collaborative systems, narrowband, indoor home network, detection systems, wireless, Ground Mobile Radar, health management, information forensics, data security, Video on Demand, Handheld Radar, wideband, Sonar, Laser Radar, Handheld Television, system and equipment health management, homeland security, Sensor Networks, Multicore systems, forensics, handheld devices, Ground Fixed Radar, Neural Systems, wireless propagation and impairments, MIMO, personal networks, Multimedia, Fault-tolerant computing, drive systems, smart_grid, Biomedical Signals, distributed monitoring systems, ATC Radar, Target Avoidance Radar, optical sensors, wireless radios, computed radiography, system security, Personal Security, Internet Video, Digital Radio, Internet Radio, smart sensors, Personal Health Records, system Prognostics and Health management (PHM), ultra wideband, Audio, WIMAX, distributed networking, warning systems"
"Social Implications of Technology","SSIT","","economic impact, disposal, electronic waste, personal privacy, lifestyle, law enforcement, mobile phones, cell phones, ICT, user studies, e-waste, obsolescence, developing countries, social networking, user interface, disabled, visually impaired, deaf, hearing impaired, spectrum allocation, deregulation, government policy, laws, legal framework, history, Ethics, archiving junk"
