"Name","Sectors","Filters","Related Tags"
"Array noise","Manufacturing & Devices","",""
"Array processing","Manufacturing & Devices","",""
"Array signal processing","Manufacturing & Devices","",""
"Arrays","Manufacturing & Devices","",""
"Artificial intelligence","Computing & IT","",""
"Artificial Intelligence","Defense","",""
"artificial intelligence","Healthcare","",""
"artificial limbs","Healthcare","",""
"artificial organs","Healthcare","",""
"ASIC","Manufacturing & Devices","",""
"assessment","Healthcare","",""
"asset","Energy","",""
"Associative memories","Manufacturing & Devices","",""
"Associative memory","Manufacturing & Devices","",""
"Associative processing","Manufacturing & Devices","",""
"Associative storage","Manufacturing & Devices","",""
"Astronomical data and image processing","Manufacturing & Devices","",""
"astronomy","Computing & IT","",""
"Asymmetric digital subscriber line","Manufacturing & Devices","",""
"Asymmetric digital subscriber loop (ADSL)","Manufacturing & Devices","",""
"Asynchronous circuits","Manufacturing & Devices","",""
"Asynchronous debugging","Manufacturing & Devices","",""
"Asynchronous DEMUX","Manufacturing & Devices","",""
"Asynchronous logic circuits","Manufacturing & Devices","",""
"Asynchronous processor","Manufacturing & Devices","",""
"Asynchronous testability","Manufacturing & Devices","",""
"Asynchronous transfer mode","Manufacturing & Devices","",""
"at scan","Healthcare","",""
"ATC Radar","Defense","",""
"ATM","Manufacturing & Devices, Communications","",""
"ATM Atomic force microscopy","Manufacturing & Devices","",""
"Atmospheric measurements","Manufacturing & Devices","",""
"atmospheric sensing","Agriculture","",""
"ATM/SONET","Manufacturing & Devices","",""
"Attenuation equalizers","Manufacturing & Devices","",""
"Attenuators","Manufacturing & Devices","",""
"audio","Computing & IT","",""
"Audio","Entertainment, Computing & IT","",""
"audio amplifiers","Entertainment","",""
"Audio amplifiers","Manufacturing & Devices","",""
"Audio coding","Manufacturing & Devices","",""
"Audio equipment and systems","Manufacturing & Devices","",""
"Audio oscillators","Manufacturing & Devices","",""
"Audio recording","Manufacturing & Devices","",""
"Audio signal processing","Manufacturing & Devices","",""
"Audio systems","Manufacturing & Devices","",""
"Audio tape recorders","Manufacturing & Devices","",""
"Audio-frequency amplifiers","Manufacturing & Devices","",""
"Audio-frequency oscillators","Manufacturing & Devices","",""
"Audition","Manufacturing & Devices","",""
"Auditory displays","Manufacturing & Devices","",""
"Auditory system","Manufacturing & Devices","",""
"authoring tools","Computing & IT","",""
"Autofocus","Manufacturing & Devices","",""
"Automata","Manufacturing & Devices","",""
"Automated tools","Manufacturing & Devices","",""
"Automatic control","Manufacturing & Devices","",""
"Automatic decision threshold control","Manufacturing & Devices","",""
"Automatic gain control (AGC)","Manufacturing & Devices","",""
"Automatic test and measurement systems","Manufacturing & Devices","",""
"Automatic test equipment","Manufacturing & Devices","",""
"Automatic test software","Manufacturing & Devices","",""
"Automatic testing","Manufacturing & Devices","",""
"automation","Manufacturing & Devices, Energy","",""
"Automobile electronics","Transportation, Manufacturing & Devices","",""
"Automotive","Transportation","",""
"automotive","Transportation, Communications","",""
"automotive accessories","Transportation","",""
"Automotive control","Computing & IT","",""
"Automotive Control","Agriculture, Transportation, Communications","",""
"automotive control","Transportation","",""
"Automotive Electronics","Transportation","",""
"Automotive electronics","Transportation","",""
"automotive power systems","Transportation","",""
"automotive radar","Transportation","",""
"Automotive radar systems","Transportation, Manufacturing & Devices","",""
"autonomic systems","Communications","",""
"Autonomous","Defense","",""
"Autonomous Action","Defense","",""
"Autonomous self-aware machines","Computing & IT","",""
"autonomous vehicles","Transportation","",""
"Auto-zero technique","Manufacturing & Devices","",""
"AUV's","Defense","",""
"Auxiliary MOSFET","Manufacturing & Devices","",""
"availability","Agriculture, Entertainment, Defense, Critical Infrastructure, Financial Services, Transportation, Healthcare, Manufacturing & Devices, Communications, Computing & IT","",""
"Avalanche breakdown","Manufacturing & Devices","",""
"Avalanche diode microwave oscillators","Manufacturing & Devices","",""
"Avalanche diodes","Manufacturing & Devices","",""
"Avalanche photodiodes Avalanche diode microwave amplifiers","Manufacturing & Devices","",""
"Avalanche transistor circuits","Manufacturing & Devices","",""
"avatars","Entertainment","",""
"Avionic systems and aerospace instrumentation","Transportation","",""
"Avionics","Transportation","",""
"backplane transceivers","Manufacturing & Devices, Communications","",""
"bandwidth maximization","Communications","",""
"Banking","Financial Services","",""
"barometers","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"baseband","Communications","",""
"baseband amplifiers","Manufacturing & Devices","",""
"baseband architectures","Manufacturing & Devices","",""
"batteries","Defense, Critical Infrastructure, Transportation, Energy, Manufacturing & Devices, Communications","",""
"battery chargers","Entertainment","",""
"battery management","Transportation, Entertainment","",""
"battery-ultracapacitor combination","Manufacturing & Devices","",""
"beamforming","Computing & IT, Defense","",""
"bidirectional battery charging","Transportation","",""
"bin packing","Transportation","",""
"bio imaging","Computing & IT","",""
"bioclinical monitoring","Healthcare","",""
"Biodielectrics","Healthcare, Agriculture, Environment","",""
"biodiesel conversion","Energy","",""
"bioengineering","Healthcare","",""
"biohazards","Environment","",""
"Bioinformatics","Computing & IT","",""
"biological","Computing & IT","",""
"biological impact","Environment, Healthcare","",""
"biological sciences","Environment","",""
"biomagnetism","Healthcare, Manufacturing & Devices","",""
"biomedical applications","Healthcare, Manufacturing & Devices","",""
"Biomedical Signals","Communications, Healthcare","",""
"biomems","Healthcare","",""
"Biometrics","Healthcare, Computing & IT, Defense","",""
"biometrics","Computing & IT","",""
"bioremediation","Environment, Healthcare","",""
"Biosensors","Healthcare","",""
"biotechnology","Healthcare","",""
"Black Body Sources","Defense","",""
"black_out","Energy","",""
"blind channel identification","Communications","",""
"Bluetooth","Manufacturing & Devices, Communications","",""
"body as a network","Healthcare","",""
"body power systems","Healthcare","",""
"bolometers","Transportation","",""
"bottom types","Environment","",""
"bridge monitoring","Transportation, Critical Infrastructure","",""
"broadband","Communications","",""
"bubble clouds","Environment","",""
"buck-boost buffer","Manufacturing & Devices","",""
"building simulation","Energy","",""
"built-in test","Defense, Energy","",""
"bulk and surface acoustic wave sensors","Transportation","",""
"burst illumination","Defense","",""
"burst power","Manufacturing & Devices","",""
"Business","Agriculture, Defense, Manufacturing & Devices, Financial Services, Energy, Retail, Environment, Entertainment, Communications, Transportation, Computing & IT, Education, Critical Infrastructure, Healthcare","",""
"business perspective","Manufacturing & Devices","",""
"business process","Computing & IT","",""
"c3i","Critical Infrastructure","",""
"C3I","Defense","",""
"cable","Energy","",""
"Cable TV","Entertainment","",""
"cable-modem; optical/electrical data links","Manufacturing & Devices, Communications","",""
"cache-memory systems","Manufacturing & Devices","",""
"calorimeters","Transportation","",""
"Camera","Healthcare","",""
"capacity building","Critical Infrastructure","",""
"capacity_planning","Energy","",""
"capital hedge risk","Energy","",""
"carbon assessment","Environment","",""
"carbon credits","Financial Services","",""
"carbon monoxide sensors","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"carbon_free","Energy","",""
"car-to-car","Communications","",""
"Casual Games","Entertainment","",""
"Cell phone processor","Manufacturing & Devices","",""
"cell phones","Agriculture","",""
"Certification","Education, Computing & IT","",""
"Channel","Communications","",""
"charge balancing","Transportation","",""
"charge-coupled devices","Transportation","",""
"charging systems","Energy","",""
"chemical","Energy, Computing & IT","",""
"Chemical and biological sensors with emphasis on the electronics and physics aspects of transducing chemical and biological signals into information about chemical and biological agents","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"chemicals","Manufacturing & Devices","",""
"chip/package co-design","Entertainment, Critical Infrastructure, Defense, Healthcare, Communications","",""
"circuit","Manufacturing & Devices, Energy","",""
"circuit analysis","Communications, Defense, Manufacturing & Devices, Computing & IT, Critical Infrastructure","",""
"circuit optimization","Communications, Computing & IT","",""
"circuit simulation","Computing & IT","",""
"Circuits for RF/IF/baseband","Manufacturing & Devices, Communications","",""
"class","Computing & IT","",""
"class d","Entertainment","",""
"class D amplifiers","Entertainment","",""
"class diagram","Computing & IT","",""
"climate","Environment","",""
"climate change","Environment","",""
"cloud computing","Computing & IT","",""
"cmos","Communications","",""
"CMOS","Computing & IT","",""
"coal burning","Environment","",""
"Coding","Communications","",""
"coding","Computing & IT","",""
"Coding and marketing technology (optical & RFID)","Retail, Communications","",""
"cognitive","Defense","",""
"cognitive radio","Environment, Defense, Communications, Critical Infrastructure, Manufacturing & Devices, Education","",""
"Collaboration Technologies","Computing & IT","",""
"Collaborative systems","Computing & IT, Communications","",""
"collaborative technologies","Defense","",""
"collision avoidance","Transportation","",""
"Collocation","Defense","",""
"collocation","Communications","",""
"Combat Casualty Care","Defense","",""
"Combined sensors (electrical & mechanical)","Transportation","",""
"Combined sensors (electrical & mechanical) such as Automotive- medical-environmental monitoring and control –consumer","Healthcare, Critical Infrastructure, Computing & IT, Communications, Financial Services, Environment, Energy, Manufacturing & Devices, Retail, Entertainment, Education, Defense","",""
"Command Control Communication Intelligence","Computing & IT, Defense","",""
"commercial","Energy","",""
"commissioning","Energy","",""
"communication","Computing & IT, Education, Critical Infrastructure","",""
"communication networks for manufacturing plants","Manufacturing & Devices","",""
"communication systems","Education, Manufacturing & Devices, Computing & IT, Critical Infrastructure","",""
"communication tools","Computing & IT, Defense","",""
"Communications","Communications, Defense, Energy","",""
"communications and networking","Computing & IT","",""
"compact flourescents","Entertainment","",""
"comparators","Manufacturing & Devices","",""
"compatibility","Computing & IT, Energy","",""
"compilers","Computing & IT","",""
"Complexity reduction and abstraction","Computing & IT","",""
"components","Energy","",""
"Comprehensive approach","Education","",""
"compression","Computing & IT","",""
"computational","Energy","",""
"Computational Biology","Computing & IT","",""
"Computational Intelligence","Computing & IT","",""
"Computational science (physics/chemistry)","Computing & IT","",""
"computed radiography","Communications, Healthcare","",""
"Computer architecture","Computing & IT","",""
"computer assisted medical decision making","Healthcare","",""
"computer bus","Communications","",""
"Computer Gaming","Computing & IT","",""
"Computer graphics","Computing & IT","",""
"Computer networking","Computing & IT","",""
"Computer vision","Computing & IT","",""
"Computer Weapons","Defense","",""
"computing curricula","Education","",""
"condition based maintenance","Transportation, Manufacturing & Devices","",""
"condition-based maintenance","Defense","",""
"condition_assessment","Energy","",""
"conductors","Energy","",""
"confidentiality","Communications","",""
"conformal antennas","Defense","",""
"conformance","Communications","",""
"congestion","Energy","",""
"congestion management","Transportation","",""
"connector","Energy","",""
"connexions","Education","",""
"CONOPS","Defense","",""
"conservation","Energy","",""
"construction","Energy","",""
"Consumer","Financial Services, Entertainment","",""
"consumer","Transportation","",""
"consumer products","Manufacturing & Devices","",""
"contactless power delivery","Entertainment","",""
"contamination control","Manufacturing & Devices","",""
"Content Delivery","Entertainment, Computing & IT","",""
"content management","Education, Computing & IT","",""
"continuing","Education","",""
"continuous process control","Manufacturing & Devices","",""
"control and optimization algorithm","Manufacturing & Devices","",""
"controls","Energy","",""
"control_systems","Energy","",""
"conversion","Energy","",""
"Converters","Energy","",""
"convolution","Defense","",""
"cordless power","Entertainment","",""
"corrosion","Transportation","",""
"cosmic events","Environment","",""
"counterfeiting","Retail","",""
"countermeasures","Defense","",""
"Credit","Financial Services","",""
"Critical Infrastructure","Critical Infrastructure","",""
"CRM","Retail","",""
"cryptography","Education","",""
"crystallography","Computing & IT","",""
"ct","Computing & IT","",""
"CT","Healthcare","",""
"ctd","Environment","",""
"cultural aspects of health","Healthcare","",""
"culture","Manufacturing & Devices","",""
"current","Energy","",""
"customer expectations","Manufacturing & Devices","",""
"cutting","Manufacturing & Devices","",""
"cyberattack","Environment","",""
"cybernetics","Computing & IT","",""
"Cybersecurity","Defense","",""
"cycle time","Manufacturing & Devices","",""
"cylclic codes","Computing & IT","",""
"data","Energy, Computing & IT","",""
"data analysis","Critical Infrastructure","",""
"Data centers","Computing & IT","",""
"Data Engineering","Computing & IT","",""
"data logging","Critical Infrastructure","",""
"Data mining","Computing & IT","",""
"Data Mining","Retail","",""
"data mining","Environment, Healthcare","",""
"data privacy","Healthcare","",""
"data security","Healthcare, Computing & IT","",""
"data storage","Manufacturing & Devices","",""
"Data Storage","Computing & IT","",""
"data structures","Computing & IT","",""
"data visualization","Critical Infrastructure, Computing & IT","",""
"Databases","Computing & IT","",""
"datacomms","Computing & IT","",""
"dataflow","Computing & IT","",""
"DC","Energy","",""
"dc power conversion","Computing & IT","",""
"dc power supplies","Healthcare","",""
"DCSs","Manufacturing & Devices","",""
"dc-dc converters; continuous-time filters discrete-time filters; consumer electronics","Manufacturing & Devices","",""
"deaf","Communications","",""
"Dealing with real world","Education","",""
"Decision making","Critical Infrastructure","",""
"Decision Making","Critical Infrastructure, Manufacturing & Devices, Agriculture, Healthcare, Retail, Computing & IT, Energy, Environment, Transportation, Defense, Communications, Entertainment, Financial Services, Education","",""
"decision support","Transportation, Critical Infrastructure, Defense, Healthcare, Computing & IT","",""
"defects","Manufacturing & Devices","",""
"Defense","Critical Infrastructure","",""
"Defensive Weaponry","Defense","",""
"defining purpose","Manufacturing & Devices","",""
"Definition","Critical Infrastructure","",""
"degradation","Energy, Computing & IT, Defense","",""
"delivery","Transportation","",""
"Delivery Cost","Entertainment","",""
"Delivery Mechanisms","Defense","",""
"Delivery Modes","Entertainment","",""
"demand","Energy","",""
"demand projection","Transportation","",""
"demand-side","Energy","",""
"density sensors","Entertainment, Defense, Manufacturing & Devices, Communications, Critical Infrastructure, Retail, Energy, Healthcare, Education, Computing & IT, Transportation, Financial Services, Environment","",""
"dependability","Agriculture, Transportation, Healthcare, Communications, Computing & IT, Defense, Financial Services, Entertainment","",""
"Dependable computing","Computing & IT","",""
"derating factors","Defense","",""
"deregulation","Communications","",""
"design","Environment, Defense, Manufacturing & Devices, Critical Infrastructure, Retail, Energy, Healthcare, Agriculture, Transportation, Education, Financial Services, Entertainment","",""
"Design Automation","Computing & IT","",""
"Design automation","Manufacturing & Devices, Agriculture, Defense, Financial Services, Computing & IT, Retail, Energy, Entertainment, Communications, Transportation, Environment, Education, Critical Infrastructure, Healthcare","",""
"Design for manufacture","Manufacturing & Devices, Agriculture, Defense, Financial Services, Computing & IT, Retail, Energy, Entertainment, Environment, Transportation, Education, Critical Infrastructure, Healthcare","",""
"design implementation","Computing & IT","",""
"design of experiments (DOE)","Defense","",""
"Design productivity","Agriculture, Computing & IT","",""
"design specificaiotn","Manufacturing & Devices","",""
"Design specification","Communications, Computing & IT","",""
"design specification","Communications, Computing & IT, Defense, Critical Infrastructure","",""
"design specificaton","Communications, Computing & IT","",""
"design tools","Computing & IT","",""
"Design verification","Manufacturing & Devices, Critical Infrastructure, Agriculture, Healthcare, Retail, Computing & IT, Energy, Environment, Transportation, Defense, Communications, Entertainment, Financial Services, Education","",""
"detecting","Computing & IT","",""
"detection","Communications","",""
"detection systems","Critical Infrastructure, Transportation, Communications","",""
"deterioration","Defense","",""
"developing countries","Communications","",""
"Development Cost","Entertainment","",""
"devices","Energy, Manufacturing & Devices, Computing & IT","",""
"DFT","Defense","",""
"diagnosis","Healthcare","",""
"diagnostic tools","Manufacturing & Devices, Healthcare","",""
"Diagnostics","Critical Infrastructure, Defense, Energy, Education, Transportation, Environment, Agriculture, Manufacturing & Devices, Healthcare","",""
"diagnostics","Defense","",""
"dielectrics","Energy","",""
"Digital Books","Entertainment","",""
"digital cinema","Entertainment","",""
"Digital Home","Entertainment","",""
"digital libraries","Education","",""
"Digital libraries","Computing & IT","",""
"Digital Radio","Communications, Entertainment","",""
"Digital RF","Communications","",""
"digital toning","Computing & IT","",""
"Digital TV","Entertainment","",""
"digital-noise isolation techniques","Manufacturing & Devices","",""
"diode and transistor temperature sensors","Transportation","",""
"diode lasers","Transportation","",""
"disabled","Communications","",""
"disaster planning","Environment","",""
"disaster prediction","Critical Infrastructure","",""
"disaster response","Critical Infrastructure","",""
"discrete and continuus manufacturing sectors","Manufacturing & Devices","",""
"discrete cosine transform","Defense","",""
"discrete Fourier transform","Defense","",""
"discrete sine transform DCT","Defense","",""
"discrete-event and sequence control","Manufacturing & Devices","",""
"disk laser","Manufacturing & Devices","",""
"displacement transducers","Manufacturing & Devices, Healthcare, Financial Services, Computing & IT, Retail, Critical Infrastructure, Energy, Education, Communications, Environment, Entertainment, Transportation, Defense","",""
"display power","Entertainment","",""
"displays","Manufacturing & Devices","",""
"disposal","Communications","",""
"distributed monitoring systems","Transportation, Healthcare, Communications","",""
"distributed networking","Communications, Transportation","",""
"Distributed Power","Defense, Healthcare, Environment","",""
"distributed sensor networks","Transportation, Manufacturing & Devices, Critical Infrastructure","",""
"Distributed systems","Computing & IT","",""
"distributed_generation","Environment, Energy, Defense","",""
"distribution","Energy","",""
"DITA","Computing & IT","",""
"DLP","Healthcare","",""
"DNA sequencing","Healthcare","",""
"document image analysis","Computing & IT","",""
"documentation","Computing & IT, Education, Defense, Critical Infrastructure","",""
"documentation standards","Computing & IT","",""
"domain engineering","Computing & IT","",""
"Doppler radar","Defense","",""
"drive systems","Communications, Defense, Manufacturing & Devices, Agriculture","",""
"drug delivery","Healthcare","",""
"drug design","Healthcare","",""
"DSP","Communications","",""
"DST","Defense","",""
"DTV Transition","Entertainment","",""
"duplication","Computing & IT","",""
"DVB/DMB","Manufacturing & Devices, Communications","",""
"dynamic","Energy","",""
"dynamic memory","Manufacturing & Devices","",""
"dynamic voltage restorer","Manufacturing & Devices","",""
"E3","Defense","",""
"early life","Defense","",""
"ECC techniques","Manufacturing & Devices","",""
