Type,ID,Name,Description,URL,Tags,Societies,Year,Standard Status,Technical Committee,Keywords,Priority
Standard,307 - 1969,IEEE Standard Definitions of Terms For Solar Cells,,http://standards.ieee.org/cgi-bin/status?Designation: 307-1969,,AES,,Withdrawn,SS,              ,no
Standard,528 - 1984,IEEE Standard Inertial Sensor Terminology,,http://standards.ieee.org/cgi-bin/status?Designation: 528-1984,,AES,,Withdrawn,GA,"inertial, sensor, terminology  marine vessels  shipboard systems  ships""  ""           ",no
Standard,647 - 1981,IEEE Standard Specification Format Guide and Test Procedure for Single-Axis Laser Gyros,,http://standards.ieee.org/cgi-bin/status?Designation: 647-1981,,AES,,Withdrawn,GA,"specification, single, axis, laser, gyros              ",no
Standard,686 - 1990,IEEE Standard Radar Definitions,,http://standards.ieee.org/cgi-bin/status?Designation: 686-1990,,AES,,Withdrawn,RS,"Terminology, Radar              ",no
Standard,291 - 1991,"IEEE Standard Methods for Measuring Electromagnetic Field Strength of Sinusoidal Continuous Waves, 30 Hz to 30 GHz",,http://standards.ieee.org/cgi-bin/status?Designation: 291-1991,,AP,,Withdrawn,P,"field strength, receiving antenna, Transmitting antenna              ",no
Standard,302 - 1969,IEEE Standard Methods for Measuring Electromagnetic Field Strength for Frequencies Below 1000 MHz in Radio Wave Propagation,,http://standards.ieee.org/cgi-bin/status?Designation: 302-1969,,AP,,Withdrawn,AP,"electromagnetic, field, strength, radio wave, propagation              ",no
Standard,356 - 1974,IEEE Guide for Radio Methods for Measuring Earth Conductivity,,http://standards.ieee.org/cgi-bin/status?Designation: 356-1974,,AP,,Withdrawn,P,"radio, earth, conductivity, measuring, methods  electrical insulation  high direct voltage""  ""            ",no
Standard,152 - 1991,IEEE Standard for Audio Program Level Measurement,,http://standards.ieee.org/cgi-bin/status?Designation: 152-1991,,BT,,Withdrawn,AVTech,"peak, meter, indicator, audio program, program level, Standard volume indicator, Peak-program meter              ",no
Standard,182 - 1961,IEEE Standards on Radio Transmitters: Definitions of Terms,,http://standards.ieee.org/cgi-bin/status?Designation: 182-1961,,BT,,Withdrawn,BTS,"radio, transmitters, terms, glossary              ",no
Standard,182A - 1964,IEEE Standard Definitions of Terms for Radio Transmitters,,http://standards.ieee.org/cgi-bin/status?Designation: 182A-1964,,BT,,Withdrawn,BTS,182A              ,no
Standard,183 - 1958,IEEE Technical Committee Report: Methods for Testing Radiotelegraph Transmitters (Below 50 MC),,http://standards.ieee.org/cgi-bin/status?Designation: 183-1958,,BT,,Withdrawn,BTS,"radio, telegraph, radiotelegraph, transmitter, test dynamic analysis parameter determination synchronous machines""  ""           ",no
Standard,185 - 1975,Standard Methods of Testing Frequency Modulation Broadcast Receivers,,http://standards.ieee.org/cgi-bin/status?Designation: 185-1975,,BT,,Withdrawn,BTS,              ,no
Standard,190 - 1960,Standard Methods of Testing Monochrome Television Broadcast Receivers,,http://standards.ieee.org/cgi-bin/status?Designation: 190-1960,,BT,,Withdrawn,BTS,              ,no
Standard,202 - 1954,Television:  Methods of Measurement of Aspect Ratio and Geometric Distortion,,http://standards.ieee.org/cgi-bin/status?Designation: 202-1954,,BT,,Withdrawn,BTS,              ,no
Standard,205 - 1958,IEEE Standards on Television: Measurement of Luminance Signal Levels,,http://standards.ieee.org/cgi-bin/status?Designation: 205-1958,,BT,,Withdrawn,AVTech,"measure, luminance, signal, levels              ",no
Standard,205 - 2001,IEEE Standard on Television: Measurement of Luminance Signal Levels,"Revise IEEE Std 205 to specify its application to composite NTSC signals only, define voltage levels associated with IRE units, redraw the roll-off characteristic for IRE filter response, revise circuit examples to substitute solid-state components for vacuum tybes, update text to S.I. units and abbreviations, and revise procedures for use with modern oscilloscopes.",http://standards.ieee.org/cgi-bin/status?Designation: 205-2001,,BT,,Withdrawn,AVTech,chrominance              ,no
Standard,206 - 1960,IEEE Standards on Television:  Measurement of Differential Gain and Differential Phase,,http://standards.ieee.org/cgi-bin/status?Designation: 206-1960,,BT,,Withdrawn,AVTech,"measure, tv, differential, gain, phase              ",no
Standard,208 - 1960,"IEEE Standards on Video Techniques:  Measurement of Resolution of Camera Systems, 1961",,http://standards.ieee.org/cgi-bin/status?Designation: 208-1960,,BT,,Withdrawn,AVTech,"measure, video, differential, gain, phase              ",no
Standard,511 - 1979,IEEE Standard on Video Signal Transmission Measurement of Linear Waveform Distortion,,http://standards.ieee.org/cgi-bin/status?Designation: 511-1979,,BT,,Withdrawn,BTS,"video, signal, transmission, waveform, distortion              ",no
Standard,618 - 1984,IEEE Standard Measurement of Luminance Signal-to-Noise Ratio in Video Magnetic-Tape Recording Systems,,http://standards.ieee.org/cgi-bin/status?Designation: 618-1984,,BT,,Withdrawn,BTS,"luminance, signal, noise, ratio, video              ",no
Standard,746 - 1984,IEEE Standard for Performance Measurements of A/D and D/A Converters for PCM Television Video Circuits,,http://standards.ieee.org/cgi-bin/status?Designation: 746-1984,,BT,,Withdrawn,BTS,"a/d, d/a, converters, video, circuits              ",no
Standard,847 - 1982,IEEE Standard Definitions of Digital Terms Relating to Television,,http://standards.ieee.org/cgi-bin/status?Designation: 847-1982,,BT,,Withdrawn,BTS,              ,no
Standard,164 - 1962,Methods of Testing Bobbin Cores for Electronic Computers,,http://standards.ieee.org/cgi-bin/status?Designation: 164-1962,,C,,Withdrawn,C,              ,no
Standard,165 - 1977,IEEE Standard Definitions of Terms for Analog Computers,,http://standards.ieee.org/cgi-bin/status?Designation: 165-1977,,C,,Withdrawn,MSC,"computer, analog, terms, glossary, definitions              ",no
Standard,610 - 1990,IEEE Standard Computer Dictionary: Compilation of IEEE Standard Computer Glossaries,,http://standards.ieee.org/cgi-bin/status?Designation: 610-1990,,C,,Withdrawn,S2ESC,"terminology, computer, applications, glossary, definitions, dictionary, 610              ",no
Standard,610.2 - 1987,IEEE Standard Glossary of Computer Applications Terminology,,http://standards.ieee.org/cgi-bin/status?Designation: 610.2-1987,,C,,Withdrawn,S2ESC,"glossary, terminology, applications, computer              ",no
Standard,610.3 - 1989,IEEE Standard Glossary of Modeling and Simulation Terminology,,http://standards.ieee.org/cgi-bin/status?Designation: 610.3-1989,,C,,Withdrawn,S2ESC,"glossary, modeling, simulation, terminology, dictionary              ",no
Standard,610.4 - 1990,IEEE Standard Glossary of Image Processing and Pattern Recognition Terminology,,http://standards.ieee.org/cgi-bin/status?Designation: 610.4-1990,,C,,Withdrawn,S2ESC,"glossary, terminology, dictionary, Pattern recognition, Image processing              ",no
Standard,610.5 - 1990,IEEE Standard Glossary of Data Management Terminology,,http://standards.ieee.org/cgi-bin/status?Designation: 610.5-1990,,C,,Withdrawn,S2ESC,"glossary, terminology, dictionary, definitions, Data management              ",no
Standard,610.6 - 1991,IEEE Standard Glossary of Computer Graphics Terminology,,http://standards.ieee.org/cgi-bin/status?Designation: 610.6-1991,,C,,Withdrawn,S2ESC,"glossary, terminology, dictionary, Definitions, Computer graphics              ",no
Standard,610.7 - 1995,IEEE Standard Glossary of Computer Networking Terminology,,http://standards.ieee.org/cgi-bin/status?Designation: 610.7-1995,,C,,Withdrawn,S2ESC,"glossary, computer, networking, terminology              ",no
Standard,610.10 - 1994,IEEE Standard Glossary of Computer Hardware Terminology,,http://standards.ieee.org/cgi-bin/status?Designation: 610.10-1994,,C,,Withdrawn,S2ESC,"glossary, hardware, technology, computer, terminology, definition  1960"" ""             ",no
Standard,610.13 - 1993,IEEE Standard Glossary of Computer Languages,,http://standards.ieee.org/cgi-bin/status?Designation: 610.13-1993,,C,,Withdrawn,S2ESC,"glossary, programming, dictionary, Computer terminology, Computer languages, Computer glossary              ",no
Standard,660 - 1986,IEEE Standard for Semiconductor Memory Test Pattern Language,,http://standards.ieee.org/cgi-bin/status?Designation: 660-1986,,C,,Withdrawn,TT,              ,no
Standard,662 - 1992,IEEE Standard Terminology for Semiconductor Memory,,http://standards.ieee.org/cgi-bin/status?Designation: 662-1992,,C,,Withdrawn,TT,"terminology, Semiconductor memory devices              ",no
Standard,694 - 1985,IEEE Standard for Microprocessor Assembly Language,,http://standards.ieee.org/cgi-bin/status?Designation: 694-1985,,C,,Withdrawn,MSC,Author:         Technical Committee on Microcomputers and Microprocessors of the IEEE Computer Society               ,no
Standard,695 - 1990,IEEE Standard for Microprocessor Universal Format for Object Modules,,http://standards.ieee.org/cgi-bin/status?Designation: 695-1990,,C,,Withdrawn,MSC,"microprocessor, universal, object, format, modules, Microcomputer software              ",no
Standard,696 - 1983,IEEE Standard 696 Interface Devices ,,http://standards.ieee.org/cgi-bin/status?Designation: 696-1983,,C,,Withdrawn,MSC,"backplane, bus, s100, interface, devices              ",no
Standard,730.1 - 1995,IEEE Guide for Software Quality Assurance Planning,,http://standards.ieee.org/cgi-bin/status?Designation: 730.1-1995,,C,,Withdrawn,S2ESC,"software life cycle, software metrics, software quality, assurance plans              ",no
Standard,755 - 1985,IEEE Trial-Use Extending High Level Language Implementations for Microprocessors,,http://standards.ieee.org/cgi-bin/status?Designation: 755-1985,,C,,Withdrawn,MSC,"extending, high-level, language, implementations, microprocessors  imaging systems  test charts"" ""            ",no
Standard,770X3.97 - 1983,IEEE Standard Pascal Computer Programming Language,,http://standards.ieee.org/cgi-bin/status?Designation: 770X3.97-1983,,C,,Withdrawn,C,              ,no
Standard,770X3.160 - 1989,IEEE/ANSI Standard for the Programming Language Extended Pascal,,http://standards.ieee.org/cgi-bin/status?Designation: 770X3.160-1989,,C,,Withdrawn,C,              ,no
Standard,796 - 1983,IEEE Standard Microcomputer System Bus,,http://standards.ieee.org/cgi-bin/status?Designation: 796-1983,,C,,Withdrawn,MSC,"system, bus, multibus, Microcomputer interfaces, Data buses              ",no
Standard,802.1B - 1992,Local and Metropolitan Area Network: LAN/MAN Management,,http://standards.ieee.org/cgi-bin/status?Designation: 802.1B-1992,,C,,Withdrawn,LM,"local area network, management, Metropolitan area networks              ",no
Standard,802.1E - 1990,Standard for Local Area Network: System Load Protocol,,http://standards.ieee.org/cgi-bin/status?Designation: 802.1E-1990,,C,,Withdrawn,LM,"LAN, load, protocol, local, networks              ",no
Standard,802.1k - 1993,Local and Metropolitan Area Networks:  Supplement to LAN/MAN Management:  Discovery and Dynamic Control of Event Forwarding (Clause 11),,http://standards.ieee.org/cgi-bin/status?Designation: 802.1k-1993,,C,,Withdrawn,LM,"LAN, Management, MAN, dynamic control              ",no
Standard,802.1m - 1993,Standard for System Load Protocol Supplement: Managed Object Definitions and Protocol Implementation Conformance Statement (PICS) Proforma,,http://standards.ieee.org/cgi-bin/status?Designation: 802.1m-1993,,C,,Withdrawn,LM,              ,no
Standard,802.4 - 1990,Standard for Token-Passing Bus Access Method and Physical Layer Specifications,,http://standards.ieee.org/cgi-bin/status?Designation: 802.4-1990,,C,,Withdrawn,LM,"LAN, token-passing, bus, Protocols, Local area networks              ",no
Standard,802.4a - 1986,Local Area Network: Fiber Optic Token Bus,,http://standards.ieee.org/cgi-bin/status?Designation: 802.4a-1986,,C,,Withdrawn,LM,"fiber, optic, token, bus              ",no
Standard,802.4b - 1992,Local Area and Metropolitan Area Networks: 802.4 Supplement: Enhancements for Physical Layer Diversity (Redundant Media Control Unit),,http://standards.ieee.org/cgi-bin/status?Designation: 802.4b-1992,,C,,Withdrawn,LM,"physical, local, area, metropolitan, diversity, redundant, media, control, token-passing, bus, access, method              ",no
Standard,802.4h - 1997,IEEE Standard Local and Metropolitan Area Networks—Alternative Use of BNC Connectors and Manchester-Encoded Signaling Methods for Single-Channel Bus Physical Layer Entities,To allow the alternative use of BNC-connectors and Manchester Encoded Signaling methods for Single Channel Bus Physical Layer Entities.,http://standards.ieee.org/cgi-bin/status?Designation: 802.4h-1997,,C,,Withdrawn,LM,"BNC connectors, differential Manchester encoding, eye pattern, local area network, MAC-Symbol encoding, Manchester-encoded signaling, Physical Layer Entity, single-channel bus, token-passing bus access method              ",no
Standard,802.5 - 1997,IEEE Standard for Information Technology - Telecommunications and Information Exchange Between Systems - Local and Metropolitan Area Networks - Specific Requirements - Part 5: Token Ring Access Method and Physical Layer Specifications,"This project will consider updates, corrections to errors and improved clarification to the Std 802.5-1995.",http://standards.ieee.org/cgi-bin/status?Designation: 802.5-1997,,C,,Withdrawn,LM,"  filter  luminance  luminance measurement filter  NTSC  SMPTE 170M video  waveform monitor""  ""       ",no
Standard,802.5j - 1997,Token ring access method and physical layer specifications Fibre Optic Media,"To upgrade from Trial Use to Full Use, the standard which adds to the token ring standard the means for fiber optic media station attachment to the token ring network.  This effort will consider comments from users of the trial use standard to include specifications for both fiber for the lobe and trunk in the supplement.",http://standards.ieee.org/cgi-bin/status?Designation: 802.5j-1997,,C,,Withdrawn,LM,              ,no
Standard,802.5p - 1993,Standard for Information Processing Systems—Local Area Networks—Part 2: Logical Link Control—Annex X: End system Route Determination,,http://standards.ieee.org/cgi-bin/status?Designation: 802.5p-1993,,C,,Withdrawn,LM,              ,no
Standard,802.5r - 1997,Token ring access method and physical layer specifications Dedicated Token Ring Operation,"Define dedicated attachment of existing token ring stations.  In addition, expand the station's capability to simultaneously transmit and receive independent data streams for all frames.  define station concentrator functions in sufficient detail to produce an interface between station and concentrator that assures interworking.",http://standards.ieee.org/cgi-bin/status?Designation: 802.5r-1997,,C,,Withdrawn,LM,              ,no
Standard,802.5t - 2000,IEEE Standard for Information Technology - Telecommunications and information exchange between systems - Local and Metropolitan Area Networks - Part 5: Token Ring access method and physical layer specifications 100 Mbit/s Dedicated Token Ring Operation,"Generate a standard for 100 Mbit/s 802.5 Token Ring LANs based on the present 802.5 Token Ring MAC.  It will support 2-pair Category 5 (100 ohm) and STP (150 ohm) cabling as specified in IS-11801 (and EIA/TIA 568A).  The standard will consist of specifications for both stations and ports.  MAC frame format will be based on that defined for IEEE 802.5, modified only to meet the specifications for the Tc PHY.  The frame format between MAC and LLC is being preserved",http://standards.ieee.org/cgi-bin/status?Designation: 802.5t-2000,,C,,Withdrawn,LM,"data processing interconnection  terminology""  ""             ",no
Standard,802.5v - 2001,IEEE Standard for Information Technology - Telecommunications and information exchange between systems - Local and metropolitan area networks - Part 5: Token Ring access method and physical layer specifications Gigabit Token Ring Operation,"Define IEEE 802.5 Token Ring (MAC) parameters and minimal augmentation of its operation, physical layer characteristics, and management parameters for transfer of 802.5 format frames at 1,000 Mb/s or faster.  The standard will consist of specifications for both stations and ports.  MAC frame format will be based on that defined for IEEE 802.5.  The frame format between MAC and LLC is being preserved",http://standards.ieee.org/cgi-bin/status?Designation: 802.5v-2001,,C,,Withdrawn,LM,Token Ring operation              ,no
Standard,802.5w - 2000,IEEE Corrigenda to Standard for Information Technology - Telecommunications and information exchange between systems - Local and metropolitan area networks - Part 5: Token Ring access method and physical layer specifications,Correct errors in 802.5-1998 and its amendments.,http://standards.ieee.org/cgi-bin/status?Designation: 802.5w-2000,,C,,Withdrawn,LM,data processing interconnection              ,no
Standard,802.6 - 1990,Local and Metropolitan Area Networks: Distributed Queue Dual Bus (DQDB) Subnetwork of a Metropolitan Area Network (MAN),"The Standard will define a Dual Bus subnetwork incorporating a shared Medium physical layer of two unidirectioonal buses, a non-isochronous media access control sublayer based on Distributed Queueing and an isochronous media access control sublayer based on centralized time slot allocation.  The standard will allow for bridges to interconnect two or more Dual Bus subnetworks to form a Metropolitan Area Network (MAN). The Dual Bus subnetwork and MAN shall be capable both of operating in the public telecommunications network environment and of incorporation in the public network structure, and shall meet the operations, administration, maintenance and performance requirements of this environment for criteria such as reliability, availablity and security.  The Dual Bus subnetworks and MAN shall operate at selected rates exceeding 1 Mbps and consistent with public network rates.  The Dual Bus subnetworks and MAN shall be capable of operating over areas in excess of 50 kilometers in diameter.  The performance and efficiency shall be essentially independent of subnetwork size and rate.",http://standards.ieee.org/cgi-bin/status?Designation: 802.6-1990,,C,,Withdrawn,LM,"LAN, metro, area, networks              ",no
Standard,802.6c - 1993,Local and Metropolitan Area Networks: Supplement to 802.6: Physical Layer Convergence Procedure (PLCP) for DS1-Based Systems (Clause 12),,http://standards.ieee.org/cgi-bin/status?Designation: 802.6c-1993,,C,,Withdrawn,LM,              ,no
Standard,802.6d - 1993,Standard for SONET (SDH) Based Physical Layer Convergence Procedures for 802.6 MAN,,http://standards.ieee.org/cgi-bin/status?Designation: 802.6d-1993,,C,,Withdrawn,LM, cable protection calibration conductor protection coordinatingtime intervals current transformers current-limiting fuses fuse coordination fuse selectivity generator grounding generator protection high-voltage fuses     ,no
Standard,802.6f - 1993,IEEE Info technology-Telecomm and information exchange between systems-Local and metropolitan area networks-Specific requirements-Part 6: Distributed Queue Dual Bus (DQDB) access method and physical layer specifications,,http://standards.ieee.org/cgi-bin/status?Designation: 802.6f-1993,,C,,Withdrawn,LM,              ,no
Standard,802.6h - 1993,Local and Metropolitan Area Networks: Supplement to 802.6: Isochronous Service on a Distributed Queue Dual Bus (DQDB) Subnetwork of a Metropolitan Area Network (MAN),,http://standards.ieee.org/cgi-bin/status?Designation: 802.6h-1993,,C,,Withdrawn,LM,              ,no
Standard,802.6j - 1995,Local and Metropolitan Area Networks: Supplement to 802.6: Connection-Oriented Service on a Distributed Queue Dual Bus (DQDB) Subnetwork of a Metropolitan Area Network(MAN),,http://standards.ieee.org/cgi-bin/status?Designation: 802.6j-1995,,C,,Withdrawn,LM,"COCF, Distributed Queue, DQDB, Queued Arbitrated, QA, Variable Bit Rate, VBR, connection-oriented service, Guaranteed Bandwidth (GBW)              ",no
Standard,802.7 - 1989,Local Area Networks: IEEE Recommended Practice: Broadband Local Area Networks,,http://standards.ieee.org/cgi-bin/status?Designation: 802.7-1989,,C,,Withdrawn,LM,"LAN, Local area networks, Broadband communication              ",no
Standard,802.9 - 1994,Local and Metropolitan Area Networks: IEEE Standard for Integrated Services (IS) LAN Interface at the Medium Access Control (MAC) and Physical (PHY) Layers,,http://standards.ieee.org/cgi-bin/status?Designation: 802.9-1994,,C,,Withdrawn,LM,"LAN, IVD, voice, interface, access unit (AU), data link layer, hybrid multiplexer , HMUX, integrated services , digital network , (ISDN), terminal equipment, (ISTE), local area network, logical link control, managed object, management info base, medium access control, sublayer, metropolitan area network, physical (PHY) layer, physical signaling, private switching network, protocol data unit , service access point, time division multiplexer (TDM, protocol data unit (PDU), private switching network, physical medium dependent, metropolitan area network (MAN, medium access control (MAC) su, management information base (M, layer management entity, integrated services terminal e, integrated services digital ne, hybrid multiplexer (HMUX), Local area network (LAN)              ",no
Standard,802.9a - 1995,Local and Metropolitan Area Networks: 802.9 Supplement: IEEE Standard Specification of ISLAN 16-T (Supplement to 802.9-1994.),,http://standards.ieee.org/cgi-bin/status?Designation: 802.9a-1995,,C,,Withdrawn,LM,"10 base T, CSMA, data link layer, GDMO, hybrid multiplexer, HMUX, integrated services, ISDN, isochronous services, LAN, terminal adapter , UTP, wide area network, WAN, signaling, premise based , ISLAN evaluation dry-type insulation system thermal transformers""  ""         ",no
Standard,802.9c - 1995,Local and Metropolitan Area Networks: 802.9 Supplement: IEEE Standard  Managed Object Conformance Statement (MOCS) Proforma,,http://standards.ieee.org/cgi-bin/status?Designation: 802.9c-1995,,C,,Withdrawn,LM,"hybrid multiplexer, HMUX, implementation under test, intregrated service, IUT, IS, ISDN, LAN, MAN, system parameters, system under test, SUT, physical signalling (PS) sublayer, protocol data units, protocol capabilities, physical medium dependent (PMD)              ",no
Standard,802.9d - 1995,Local and Metropolitan Area Networks: 802.9 Supplement: IEEE Standard Protocol Implementation Conformance Statement (PICS) Proforma,,http://standards.ieee.org/cgi-bin/status?Designation: 802.9d-1995,,C,,Withdrawn,LM,"hybrid multiplexer, HMUX sublayer, implementation , IUT, integrated services, digital network, ISDN, LAN, MAC, PMD, physical medium , physical signalling, PS, protocol capability, protocol data units, PICS, conformance , proforma, system parameters, system under test, SUT              ",no
Standard,802.10 - 1998,IEEE Standard for Interoperable LAN/MAN Security (SILS),"To refine the Security Assoc. Identifier (SAID) field of the current Standard to support Multicast Key Center (MKC) identification.  Neither the SDE PDU format, nor the elements of procedure are changed by this refinement.  Additionally, this revision will incorporate supplements 802.10e, 802.10f, 802.10g, and 802.10h.",http://standards.ieee.org/cgi-bin/status?Designation: 802.10-1998,,C,,Withdrawn,LM,decipherment              ,no
Standard,802.10a - 1999,IEEE Standard for Interoperable LAN/MAN Security (SILS): The Model (Clause 1),"The SILs model describes the architectural framework that 802.10 is using to provide security in IEEE 802 LANs and MANs and delineates the scope of each of the other two standards and relationships between them.  The two protocol standards described in the Model are Secure Data Exchange (SDE) and Key Management (KMP).  The model also describes how SDE and KMP work in end stations and bridges, as well as how they are used to protect management traffic.",http://standards.ieee.org/cgi-bin/status?Designation: 802.10a-1999,,C,,Withdrawn,LM,Interoperable LAN              ,no
Standard,802.10c - 1998,IEEE Standards for Local and Metropolitan Area Networks: Supplement to Standard for Interoperable LAN/MAN Security (SILS)—Key Management (Clause 3),"To define a standard for services, protocols, data formats, and interfaces that will allow secure IEEE 802 LAN products to interoperate.  IEEE 802.10 has specified three areas for standardization: Secure Data Exchange, Key Management, and Security Management, and the objects necessary to manage each protocol.   The goals of each of these areas of SILS are to be as independent as possible of any particular encryption algorithm, such as DES or RSA, and of the transmission media.  The work in each area is based on the OSI Seven Layer model (IS 7498) and on the OSI Security Architecture (IS 7498/2). The Key Management Standard specifies a Layer 7 protocol that will provide secure automated management of the cryptographic keys to be used by the Secure Data Exchange at Layer 2 or by Security Management at Layer 7.  The standard will draw on work already done for Key Management by other standards groups.  The ANSI X9.E9 group has written a Key Management standard for use by the Banking Community.  ECMA TC32/TG9 has proposed a framework for secure applications, and the Secure Data Network System (SDNS) project has developed a key management standard for use with public key algorithms.  The 802.10 Key Management standard will consider each of these standards to determine if the standard or some form of the standard is appropriate for use with LANs. The appendices to the SILS Key Management standard will provide explanatory information for the standard.  The Rationale for Security Services Appendix will explain why the services that Key Management provides are appropriate for the management of cryptographic keys on LANs and how those services address the threats posed to the security of automated key distribution on LANs.  The Examples of Algorithms Appendix will give an example of the use of Key Management withparticular algorithms.  The Philosophy of Key Management Appendix will provide guidelines on the manual aspects of key management such as the secure distribution of Initialization Keys.",http://standards.ieee.org/cgi-bin/status?Designation: 802.10c-1998,,C,,Withdrawn,LM,association control service element - ACSE -              ,no
Standard,802.11F - 2003,IEEE Trial-Use Recommended Practice for Multi-Vendor Access Point Interoperability Via an Inter-Access Point Protocol Across Distribution Systems Supporting IEEE 802.11 Operation,To develop recommended practices for an Inter-Access Point Protocol (IAPP) which provides the necessary capabilities to achieve multi-vendor Access Point interoperability across a Distribution System supporting IEEE P802.11 Wireless LAN Links.  This IAPP will be developed for the following environment(s):  (1) A Distribution System consisting of IEEE 802 LAN components supporting an IETF IP environment.  (2) Others as deemed appropriate.  This Recommended Practice Document shall support the IEEE P802.11 standard revision(s).,http://standards.ieee.org/cgi-bin/status?Designation: 802.11F-2003,,C,,Withdrawn,LM,IAPP              ,no
Standard,802.12 - 1995,"IEEE Std 802.12-1990, IEEE Standards for Local and Metropolitan Networks: Demand Priority Access Method, Physical Layer and Repeater Specification",,http://standards.ieee.org/cgi-bin/status?Designation: 802.12-1995,,C,,Withdrawn,LM,"balanced cable, data processing, LAN, MAN, twisted pair, star topology, models, repeater, 100 Mb/s operation, media access control, local area network, fibre optic, demand-priority access method, Network interconnection, Mode of data transmission              ",no
Standard,802.12c - 1998,"Supplement to Information Technology—Local and metropolitan area networks—Specific requirements—Part 12: Demad-priority access method, physical layer and repeater specifications: Full-Duplex Operation",To enhance the Demand Priority MAC to provide full duplex operation when connecting two nodes (the term nodes includes bridges/switches).  Define an optional burst mode capability which allows an end node to send multiple packets per grant up to a defined time limit.  This will include definition of configuration field bits in the training packet to indicate availability of full duplex mode and burst mode and definition of related network management objects.  Full duplex mode will be compatible with the existing and future simplex physical layers.,http://standards.ieee.org/cgi-bin/status?Designation: 802.12c-1998,,C,,Withdrawn,LM,burst mode              ,no
Standard,802.12d - 1997,"Local and Metropolitan area networks—Demand Priority Access Method, Physical Layer and Repeater Specifications: Redundant Links","Provide a supplement to the 802.12 standard that defines the implementation and use of redundant repeater uplinks for fault recovery.  This will include definition of network management objects related to controlling redundant links, topoloty rules for redundant links, and standby operation mode including the procedure for transition from standby to active link operation.  The provision of a redundant uplink will be optional.  Implementation and use of redundant links for end nodes may also be defined.  This work will be applicable independent of data rate.",http://standards.ieee.org/cgi-bin/status?Designation: 802.12d-1997,,C,,Withdrawn,LM,"demand priority access method, fault tolerance, network interconnection, media access control, local area network, LAN, MAN, redundant link, repeater              ",no
Standard,855 - 1990,IEEE Standard for Microprocessor Operating System Interfaces (MOSI),,http://standards.ieee.org/cgi-bin/status?Designation: 855-1990,,C,,Withdrawn,MSC,"interface, microprocessor, operating system, MOSI, Operating environment              ",no
Standard,896.1 - 1991,IEEE Standard for Futurebus+® — Logical Protocol Specification,,http://standards.ieee.org/cgi-bin/status?Designation: 896.1-1991,,C,,Withdrawn,MSC,"bus architecture, futurebus+, logical protocol, multiprocessor systems              ",no
Standard,896.1a - 1993,"Standard for Errata, Correction and Clarification of IEEE 896.1-1991, Futurebus+® Logical Layer",,http://standards.ieee.org/cgi-bin/status?Designation: 896.1a-1993,,C,,Withdrawn,MSC,              ,no
Standard,896.2 - 1991,IEEE Standard Backplane Bus Specification for Multiprocessor Architectures: Futurebus+®,,http://standards.ieee.org/cgi-bin/status?Designation: 896.2-1991,,C,,Withdrawn,MSC,"Futurebus+, Physical layer, Node management, Multiprocessor systems, Live insertion, Bus architecture, Application environment profiles              ",no
